"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"98","TX","hansford county",5260,NA,"missing","missing","can't find",""
"99","TX","hardeman county",3559,129388,"","missing","",""
"100","TX","hardin county",56344,NA,"missing","missing","uploaded files to portal","https://www.co.hardin.tx.us/page/hardin.Audit.Reports"
"101","TX","harris county",4734505,1265423,"","","",""
"102","TX","harrison county",68798,88203,"","missing","",""
"103","TX","hartley county",5349,129389,"","missing","",""
"104","TX","haskell county",5432,NA,"missing","missing","can't find",""
"105","TX","hays county",243967,38631,"","","",""
"106","TX","hemphill county",3363,NA,"missing","missing","uploaded files to portal","https://www.co.hemphill.tx.us/page/hemphill.AnnualFinancialAudit"
"107","TX","henderson county",82394,88208,"","missing","",""
"108","TX","hidalgo county",872806,38632,"","","",""
"109","TX","hill county",35962,52911,"","","",""
"110","TX","hockley county",21503,88216,"","","uploaded files to portal",""
"111","TX","hood county",62054,88218,"","","",""
"112","TX","hopkins county",36824,98544,"","missing","",""
"113","TX","houston county",22055,88311,"","","",""
"114","TX","howard county",34812,88313,"","missing","",""
"115","TX","hudspeth county",3203,NA,"missing","missing","only 2019","https://www.co.hudspeth.tx.us/page/hudspeth.Budget"
"116","TX","hunt county",100257,88315,"","","",""
"117","TX","hutchinson county",20568,88316,"","missing","",""
"118","TX","irion county",1511,129393,"","missing","",""
"119","TX","jack county",8486,NA,"missing","missing","can't find",""
"120","TX","jackson county",14992,88319,"","missing","",""
"121","TX","jasper county",32921,88322,"","","",""
"122","TX","jeff davis county",1986,NA,"missing","missing","can't find",""
"123","TX","jefferson county",256118,38633,"","","",""
"124","TX","jim hogg county",4846,129396,"","","",""
"125","TX","jim wells county",38877,88325,"","","",""
"126","TX","johnson county",180945,88326,"","","",""
"127","TX","jones county",19678,88327,"","","",""
"128","TX","karnes county",14763,1266312,"","missing","",""
"129","TX","kaufman county",147126,88331,"","","",""
"130","TX","kendall county",44547,88333,"","","",""
"131","TX","kenedy county",351,NA,"missing","missing","can't find",""
"132","TX","kent county",761,NA,"missing","missing","can't find",""
"133","TX","kerr county",52691,48806,"","","",""
"134","TX","kimble county",4291,NA,"missing","missing","can't find",""
"135","TX","king county",266,NA,"missing","missing","pnlu 2019, 2021",""
"136","TX","kinney county",3124,65057,"","","",""
"137","TX","kleberg county",30977,38634,"","","",""
"138","TX","knox county",3346,NA,"missing","missing","can't find",""
"139","TX","lamar county",50126,88345,"","","",""
"140","TX","lamb county",13005,NA,"missing","missing","only 2019",""
