,state.abb,name,population,id,2020,2021,2022,
157,MS,clay county,18621,NA,,,,
158,MS,coahoma county,21230,NA,,,,
159,MS,franklin county,7665,NA,,,,
160,MS,george county,24364,NA,,,,
161,MS,greene county,13530,NA,,,,
162,MS,jasper county,16352,NA,,,,
163,MS,lamar county,64384,NA,,,,
164,MS,lauderdale county,72672,NA,,,,
165,MS,leflore county,28191,NA,,,,
166,MS,lincoln county,34822,NA,,,,
167,MS,madison county,109251,NA,,,,
168,MS,marshall county,33778,NA,,,,
169,MS,oktibbeha county,51698,NA,,,,
170,MS,pearl river county,56198,NA,,,,
171,MS,perry county,11458,NA,,,,
172,MS,scott county,27968,NA,,,,
173,MS,tate county,28117,NA,,,,
174,MS,tishomingo county,18843,NA,,,,
175,MS,union county,27810,NA,,,,
176,MS,wayne county,19803,NA,,,,
177,MO,benton county,19424,NA,,,,
178,MO,butler county,42059,NA,,,,
179,MO,camden county,42802,NA,,,,
180,MO,carroll county,8468,NA,,,,
181,MO,carter county,5202,NA,,,,
182,MO,clark county,6661,NA,,,,
183,MO,crawford county,23037,NA,,,,
184,MO,dade county,7587,NA,,,,
185,MO,dekalb county,11610,NA,,,,
186,MO,dent county,14389,NA,,,,
187,MO,dunklin county,28217,NA,,,,
188,MO,franklin county,104853,NA,,,,
189,MO,gasconade county,14760,NA,,,,
190,MO,harrison county,8156,NA,,,,
191,MO,henry county,21974,NA,,,,
192,MO,holt county,4184,NA,,,,
193,MO,howard county,10151,NA,,,,
194,MO,jefferson county,226927,NA,,,,
195,MO,laclede county,36044,NA,,,,
196,MO,lawrence county,37977,NA,,,,
197,MO,linn county,11852,NA,,,,
198,MO,mcdonald county,23286,NA,,,,
199,MO,macon county,15197,NA,,,,
200,MO,madison county,12626,NA,,,,
201,MO,maries county,8452,NA,,,,
202,MO,marion county,28480,NA,,,,
203,MO,miller county,24770,NA,,,,
204,MO,nodaway county,21000,NA,,,,
205,MO,ozark county,8520,NA,,,,
206,MO,pemiscot county,15585,NA,,,,
207,MO,pettis county,43001,NA,,,,
208,MO,phelps county,44560,NA,,,,
209,MO,polk county,31612,NA,,,,
210,MO,shannon county,7028,NA,,,,
211,MO,texas county,24326,NA,,,,
212,MO,vernon county,19669,NA,,,,
213,MO,warren county,35740,NA,,,,
214,MO,wright county,18211,NA,,,,
215,MT,chouteau county,5895,NA,,,,
216,MT,missoula county,118337,NA,,,,
