"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"2334","WI","waterloo","50302801500000",131293,2021,11729963,8361182,659859,0,585570,1755000,0,820233,0,0,368352,6827321,357183,378323,4072931,2493840,9141918,0,0,0,11635758,"1600000US5583950","town of waterloo","WATERLOO","JEFFERSON"
"2335","WI","oconto falls","50304301600000",131392,2021,11492931,0,666934,0,6796011,3225185,0,712007,273260,0,531541,5718152,555651,68841,2173570,826989,7689225,4046852,140364,17138,8516214,"1600000US5559425","town of oconto falls","OCONTO FALLS","OCONTO"
"2336","WI","omro","50307100800000",131615,2021,9657921,7295175,584794,0,0,923894,0,597171,598380,0,255678,1779600,272978,330940,3374453,963646,4794325,0,0,0,5757971,"1600000US5559900","town of omro","OSHKOSH","WINNEBAGO"
"2337","WI","tomah","50304202100000",131384,2021,21548684,9575832,1178595,0,0,8038802,0,2462371,523751,0,566598,9098783,1547253,81176,9922523,2841214,17808521,0,0,0,20649735,"1600000US5580100","town of tomah","TOMAH","MONROE"
"2338","WI","bloomer","50300900500000",131132,2021,7955324,4522878,922508,0,0,1024084,0,0,823565,0,162984,8051019,348501,259486,2391469,1071029,9979446,0,0,0,11050475,"1600000US5508250","town of bloomer","BLOOMER","CHIPPEWA"
"2339","WI","plymouth","50306000800000",131519,2021,19707632,9595779,3136902,0,6310000,299686,0,2017648,0,0,354013,30879107,544911,205461,10284680,6601562,35312597,0,0,0,41914159,"1600000US5563725","town of plymouth","PLYMOUTH","SHEBOYGAN"
"2340","WI","delavan","50306500300000",131551,2021,16441648,13899128,1358154,0,709774,229394,0,1795257,0,0,245198,6225081,1005458,86967,9046004,3052956,13310554,0,0,0,16363510,"1600000US5519475","town of delavan","DELAVAN","WALWORTH"
"2341","WI","hillsboro","50306301100000",1036123,2021,5136887,4528822,157744,0,320734,0,0,251825,87929,0,41658,1199488,179752,634156,1698681,1000481,2711596,0,0,0,3712077,"1600000US5534850","town of hillsboro","HILLSBORO","VERNON"
"2342","WI","green lake","50302400300000",131264,2021,11550988,3753937,535768,0,0,7002613,0,307607,71768,0,170752,1314186,512670,75054,1908774,-2471287,6281971,0,0,0,3810684,"1600000US5531350","town of green lake","MARKESAN","GREEN LAKE"
"2343","WI","mosinee","50303702900000",131347,2021,16748909,14830554,664039,0,0,1008827,0,607345,171766,0,73723,2503867,425481,173583,3381614,747620,5736925,2235031,123778,171748,6484545,"1600000US5554525","town of mosinee","MOSINEE","MARATHON"
