"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"87","IL","warren township","14304901400000",104945,2020,2011000,11000,0,0,0,0,33145,0,0,0,0,189397,0,0,12320323,910103,11599617,0,0,0,12509720,"1600000US1778877","township of warren","GURNEE","LAKE"
"88","IL","woodside township","14308402700000",74553,2020,0,0,0,0,0,0,151767,0,0,0,24358,0,0,0,1158822,188667,970155,0,0,0,1158822,"1600000US1783310","township of woodside","SPRINGFIELD","SANGAMON"
"89","IL","rockford township","14310100900000",73766,2020,194285,0,66462,0,0,0,0,409752,0,0,127823,1495,226952,0,7816648,1826972,6218123,0,0,0,8045095,"1600000US1765013","township of rockford","ROCKFORD","WINNEBAGO"
"90","IL","reading township","14305302300000",73666,2020,3176541,0,28756,0,3147785,0,0,0,0,0,0,401084,0,0,463802,-393951,1258837,0,0,0,864886,"1600000US1763017","township of reading","STREATOR","LIVINGSTON"
"91","IL","winfield township","14302200800000",74510,2020,60763,0,27873,0,0,0,0,92062,0,0,32890,26936,81583,0,3350282,1005,3457796,0,0,0,3458801,"1600000US1782413","township of winfield","WEST CHICAGO","DUPAGE"
"92","IL","wauconda township","14304901500000",74389,2020,14600,0,14600,0,0,0,68976,0,0,0,0,0,0,0,2388339,337169,2051170,0,0,0,2388339,"1600000US1779280","township of wauconda","WAUCONDA","LAKE"
"93","IL","west deerfield township","14304901700000",74422,2020,8297,0,8297,0,0,0,103802,0,0,0,0,32299,11795,0,921791,-356321,1322206,0,0,0,965885,"1600000US1780112","township of west deerfield","DEERFIELD","LAKE"
"94","MI","banks township","23300500100000",154668,2020,9480,0,9480,0,0,0,0,0,0,0,0,108614,7388,0,456829,96858,475973,0,0,0,572831,"1600000US2605240","township of banks","ELLSWORTH","ANTRIM"
"95","IL","stookey township","14308202100000",74116,2020,9195479,1304587,177580,0,7588331,107943,0,413497,0,0,17038,1703686,0,0,1869824,523109,3050401,0,0,0,3573510,"1600000US1772988","township of stookey","BELLEVILLE","ST CLAIR"
"96","MI","henderson township","23308301000000",155057,2020,1182,0,1182,0,0,0,0,0,0,0,0,4961,9804,0,28363,2349,40779,0,0,0,43128,"1600000US2637640","township of henderson","CADILLAC","WEXFORD"
