"","state.name","id","county","population","FIPS"
"599","Texas","0500000US48207","haskell county",5416,"48207"
"600","Texas","0500000US48305","lynn county",5596,"48305"
"601","Texas","0500000US48065","carson county",5807,"48065"
"602","Texas","0500000US48169","garza county",5816,"48169"
"603","Texas","0500000US48377","presidio county",6131,"48377"
"604","Texas","0500000US48175","goliad county",7012,"48175"
"605","Texas","0500000US48047","brooks county",7076,"48047"
"606","Texas","0500000US48111","dallam county",7115,"48111"
"607","Texas","0500000US48083","coleman county",7684,"48083"
"608","Texas","0500000US48501","yoakum county",7694,"48501"
"609","Texas","0500000US48405","san augustine county",7918,"48405"
"610","Texas","0500000US48193","hamilton county",8222,"48193"
"611","Texas","0500000US48237","jack county",8472,"48237"
"612","Texas","0500000US48429","stephens county",9101,"48429"
"613","Texas","0500000US48425","somervell county",9205,"48425"
"614","Texas","0500000US48043","brewster county",9546,"48043"
"615","Texas","0500000US48507","zavala county",9670,"48507"
"616","Texas","0500000US48369","parmer county",9869,"48369"
"617","Texas","0500000US48077","clay county",10218,"48077"
"618","Texas","0500000US48297","live oak county",11335,"48297"
"619","Texas","0500000US48031","blanco county",11374,"48031"
"620","Texas","0500000US48387","red river county",11587,"48387"
"621","Texas","0500000US48445","terry county",11831,"48445"
"622","Texas","0500000US48343","morris county",11973,"48343"
"623","Texas","0500000US48379","rains county",12164,"48379"
"624","Texas","0500000US48063","camp county",12464,"48063"
"625","Texas","0500000US48487","wilbarger county",12887,"48487"
"626","Texas","0500000US48279","lamb county",13045,"48279"
"627","Texas","0500000US48059","callahan county",13708,"48059"
"628","Texas","0500000US48389","reeves county",14748,"48389"
"629","Texas","0500000US48371","pecos county",15193,"48371"
"630","Texas","0500000US48395","robertson county",16757,"48395"
"631","Texas","0500000US48051","burleson county",17642,"48051"
"632","Texas","0500000US48035","bosque county",18235,"48035"
"633","Texas","0500000US48179","gray county",21227,"48179"
"634","Texas","0500000US48341","moore county",21358,"48341"
"635","Texas","0500000US48219","hockley county",21537,"48219"
"636","Texas","0500000US48281","lampasas county",21627,"48281"
"637","Texas","0500000US48293","limestone county",22146,"48293"
"638","Texas","0500000US48143","erath county",42545,"48143"
"639","Texas","0500000US48073","cherokee county",50412,"48073"
"640","Texas","0500000US48199","hardin county",56231,"48199"
"641","Texas","0500000US48485","wichita county",129350,"48485"
"642","Texas","0500000US48187","guadalupe county",172706,"48187"
"643","Utah","0500000US49025","kane county",7667,"49025"
"644","Vermont","0500000US50009","essex county",5920,"50009"
"645","Vermont","0500000US50013","grand isle county",7293,"50013"
"646","Vermont","0500000US50015","lamoille county",25945,"50015"
"647","Vermont","0500000US50019","orleans county",27393,"50019"
"648","Vermont","0500000US50017","orange county",29277,"50017"
"649","Vermont","0500000US50005","caledonia county",30233,"50005"
"650","Vermont","0500000US50003","bennington county",37347,"50003"
"651","Vermont","0500000US50001","addison county",37363,"50001"
"652","Vermont","0500000US50025","windham county",45905,"50025"
"653","Vermont","0500000US50011","franklin county",49946,"50011"
"654","Vermont","0500000US50027","windsor county",57753,"50027"
"655","Vermont","0500000US50023","washington county",59807,"50023"
"656","Vermont","0500000US50021","rutland county",60572,"50021"
"657","Vermont","0500000US50007","chittenden county",168323,"50007"
"658","West Virginia","0500000US54105","wirt county",5194,"54105"
"659","West Virginia","0500000US54071","pendleton county",6143,"54071"
"660","West Virginia","0500000US54013","calhoun county",6229,"54013"
"661","West Virginia","0500000US54093","tucker county",6762,"54093"
"662","West Virginia","0500000US54021","gilmer county",7408,"54021"
"663","West Virginia","0500000US54073","pleasants county",7653,"54073"
"664","West Virginia","0500000US54017","doddridge county",7808,"54017"
"665","West Virginia","0500000US54015","clay county",8051,"54015"
"666","West Virginia","0500000US54095","tyler county",8313,"54095"
"667","West Virginia","0500000US54101","webster county",8378,"54101"
"668","West Virginia","0500000US54085","ritchie county",8444,"54085"
"669","West Virginia","0500000US54023","grant county",10976,"54023"
"670","West Virginia","0500000US54089","summers county",11959,"54089"
"671","West Virginia","0500000US54063","monroe county",12376,"54063"
"672","West Virginia","0500000US54007","braxton county",12447,"54007"
"673","West Virginia","0500000US54087","roane county",14028,"54087"
"674","West Virginia","0500000US54031","hardy county",14299,"54031"
"675","West Virginia","0500000US54103","wetzel county",14442,"54103"
"676","West Virginia","0500000US54001","barbour county",15465,"54001"
"677","West Virginia","0500000US54091","taylor county",16705,"54091"
"678","West Virginia","0500000US54041","lewis county",17033,"54041"
"679","West Virginia","0500000US54065","morgan county",17063,"54065"
"680","West Virginia","0500000US54047","mcdowell county",19111,"54047"
"681","West Virginia","0500000US54043","lincoln county",20463,"54043"
"682","West Virginia","0500000US54005","boone county",21809,"54005"
"683","West Virginia","0500000US54009","brooke county",22559,"54009"
"684","West Virginia","0500000US54027","hampshire county",23093,"54027"
"685","West Virginia","0500000US54059","mingo county",23568,"54059"
"686","West Virginia","0500000US54053","mason county",25453,"54053"
"687","West Virginia","0500000US54057","mineral county",26938,"54057"
"688","West Virginia","0500000US54051","marshall county",30591,"54051"
"689","West Virginia","0500000US54077","preston county",34216,"54077"
"690","West Virginia","0500000US54033","harrison county",65921,"54033"
"691","West Virginia","0500000US54081","raleigh county",74591,"54081"
"692","West Virginia","0500000US54011","cabell county",94350,"54011"
"693","West Virginia","0500000US54061","monongalia county",105822,"54061"
"694","West Virginia","0500000US54039","kanawha county",180745,"54039"
"695","Wyoming","0500000US56027","niobrara county",2467,"56027"
"696","Wyoming","0500000US56017","hot springs county",4621,"56017"
"697","Wyoming","0500000US56031","platte county",8605,"56031"
"698","Wyoming","0500000US56015","goshen county",12498,"56015"
"699","Wyoming","0500000US56009","converse county",13751,"56009"
