,state,name,census_id,id,year,category,total_assets,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
27,MO,State of Missouri,NA,148599,2021,General Purpose,49666805000,18579166000,2310803000,2539102000,38491000,0,0,7482744000,0,3275006000,0,196555000,4147456000,19052759000,1568379000,13867357000,3414100000,35221851000,1828313,214,0,38635951000,FALSE
28,NH,State of New Hampshire,NA,35545,2021,General Purpose,8929945000,6596112000,1153302000,1484817000,16900000,2704000,196238000,1231186000,0,2197650000,0,104004000,2741173000,4460241000,209232000,3011398000,728170000,9693874000,122136,4310,27,10422044000,FALSE
29,IA,State of Iowa,NA,1036991,2021,General Purpose,31703103000,9323755000,3044848000,26687000,43021000,0,0,1077174000,0,468779000,0,587113000,7215863000,11054444000,553462000,11335484000,2354506000,27804747000,4771731000,2041648000,33205000,30159253000,FALSE
30,SC,State of South Carolina,NA,38235,2021,General Purpose,43339383000,15940670000,1779886000,4761001000,6306000,0,71178000,4433241000,0,3665935000,0,209452000,4746896000,16276411000,728616000,16130654000,4292955000,33589622000,0,0,0,37882577000,FALSE
31,RI,State of Rhode Island,NA,38202,2021,General Purpose,10041109000,10147273000,3084068000,2702862000,137444000,0,0,3693920000,0,345350000,11226000,89157000,2040593000,6391181000,282976000,4280460000,659590000,12335620000,0,0,0,12995210000,FALSE
32,UT,State of Utah,NA,39282,2021,General Purpose,40354202000,7729825000,3911629000,2806348000,25624000,0,134000,411417000,0,608000,0,217280000,2585041000,7776975000,154058000,11253186000,3664833000,18104427000,67872000,858000,0,21769260000,FALSE
33,WA,State of Washington,NA,39528,2021,General Purpose,116253000000,86950922000,27731386000,10068030000,4995000,0,0,2509635000,0,6051091000,0,967603000,19952732000,34458593000,648888000,33609591000,3655115000,85014689000,0,0,0,88669804000,FALSE
34,WI,State of Wisconsin,NA,39818,2021,General Purpose,60482041000,28571435000,12824044000,10165101000,28052000,12824044000,217939000,0,1756036000,1327648000,249006000,2716624000,9448722000,18495066000,1020529000,20844549000,3208622000,46600244000,0,0,0,49808866000,FALSE
35,DC,Government of the District of Columbia,9.20E+12,47298,2021,General Purpose,27265884000,18144143000,12656287000,4111604000,70380000,407223000,163665000,0,2056646000,0,313355000,324082000,1184058000,7137868000,309217000,9738925000,825861000,17544207000,0,0,0,18370068000,FALSE
36,NV,State of Nevada,NA,35504,2021,General Purpose,24215809000,13758375000,2992919000,6954942000,7542000,0,0,2354763000,0,882306000,0,128833000,1101663000,12874090000,7317000,6141433000,192747000,19931756000,0,0,0,20124503000,FALSE
