"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"1","IL","abingdon","14204800100000",71140,2021,2391714,530000,74087,0,1763796,0,0,60559,0,0,23831,1193201,1218817,131116,1208659,393529,3358264,0,0,0,3751793,"1600000US1700113",2951,"Abingdon city"
"2","IL","albion","14202400100000",71154,2021,2064822,2010000,54822,0,0,0,0,0,0,0,0,1256756,230518,0,1091245,323555,2254964,0,0,0,2578519,"1600000US1700568",1971,"Albion city"
"3","IL","altona","14204800200000",96595,2021,211857,0,13280,0,0,198577,0,0,0,0,0,177017,0,0,191544,-40959,409520,0,0,0,368561,"1600000US1701140",463,"Altona village"
"4","IL","alexis","14209400100000",96587,2021,0,0,0,0,0,0,0,0,0,0,0,299287,61664,0,409195,189315,580831,0,0,0,770146,"1600000US1700672",793,"Alexis village"
"5","IL","alhambra","14206000100000",96589,2021,186613,0,58943,0,0,127670,0,0,0,0,0,226209,74779,0,426262,-81117,808367,0,0,0,727250,"1600000US1700737",622,"Alhambra village"
"6","IL","alton","14206000200000",46347,2021,162901196,7462017,2927677,0,2060000,0,111425312,0,36331131,0,2695059,6288772,2805581,102953,36232138,-7620040,53049484,0,0,0,45429444,"1600000US1701114",25676,"Alton city"
"7","IL","allerton","14209200100000",96590,2021,7425,0,7425,0,0,0,0,0,0,0,0,60317,0,0,101817,1203,160931,58227,5403,0,162134,"1600000US1700880",262,"Allerton village"
"8","AR","bergman","04200580200000",108512,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US0505440",426,"Bergman town"
"9","IL","addison","14202200100000",96585,2021,95779263,27608552,6333622,0,10605585,0,40811243,0,3814128,0,6426133,24502244,3138317,1606470,40095711,11763333,57579409,0,0,0,69342742,"1600000US1700243",35702,"Addison village"
"10","IL","albers","14201400100000",96586,2021,45693,0,0,0,0,45693,0,0,0,0,0,446246,49091,0,567898,223422,839813,0,0,0,1063235,"1600000US1700555",1121,"Albers village"
"11","AK","houston","02201300100000",103539,2021,59128,0,27824,0,0,31304,0,0,0,0,0,69610,1133447,0,1612613,1414967,1400703,0,0,0,2815670,"1600000US0233800",1975,"Houston city"
"12","AK","unalaska","02200100400000",47388,2021,104637425,55147928,4199498,0,13109826,0,22793402,0,0,1899199,2132398,28102607,12276303,0,33736944,-148329,74264183,0,0,0,74115854,"1600000US0280770",4254,"Unalaska city"
"13","IL","albany","14209800100000",71152,2021,1627704,0,18952,0,0,1608752,1904,0,0,0,0,1128245,50005,0,550307,21935,1706622,0,0,0,1728557,"1600000US1700516",864,"Albany village"
"14","IL","alpha","14203700100000",96593,2021,145645,0,7055,0,138590,0,0,0,0,0,0,225736,18962,0,273186,116020,401864,0,0,0,517884,"1600000US1700971",675,"Alpha village"
"15","AZ","dewey-humboldt","03201310100000",110898,2021,798422,0,787356,0,0,0,0,0,0,0,11066,244709,1210153,0,2609398,1581894,2482366,0,0,0,4064260,"1600000US0419145",4326,"Dewey-Humboldt town"
"16","CT","bantam","07200300100000",68155,2021,10840,0,10840,0,0,0,0,0,0,0,0,4934,0,0,80695,-22987,108616,0,0,0,85629,"1600000US0902690",720,"Bantam borough"
"17","CT","fenwick","07200400100000",68219,2021,1225685,0,99023,49065,1077597,0,0,0,0,0,0,1141597,7764,33264,628216,647550,1163291,0,0,0,1810841,"1600000US0927810",53,"Fenwick borough"
"18","IL","annawan","14203700300000",104913,2021,1239156,0,0,0,960000,279156,0,0,0,0,0,343935,4152,0,2838668,1870569,1316186,0,0,0,3186755,"1600000US1701569",884,"Annawan town"
"19","CT","jewett city","07200600300000",197945,2021,3738119,0,649430,0,0,1469054,250053,0,0,0,0,4771583,578674,0,864599,676838,5538018,0,0,0,6214856,"1600000US0939940",3328,"Jewett City borough"
"20","CT","woodmont","07200590100000",68429,2021,12115,0,12115,0,0,0,0,0,0,0,0,250,0,250543,160807,-11991,423591,0,0,0,411600,"1600000US0988050",1486,"Woodmont borough"
"21","GA","dillard","11211900200000",70813,2021,617940,0,60066,0,0,557874,0,0,0,0,0,500422,3980,163570,375320,25943,1017349,261224,6250,0,1043292,"1600000US1322976",337,"Dillard city"
"22","GA","duluth","11206700400000",56131,2021,43388710,38821066,3554038,0,0,0,340224,0,0,0,673382,5844748,3723641,7654096,19541426,9554363,27209548,0,0,0,36763911,"1600000US1324600",31873,"Duluth city"
"23","GA","lilburn","11206700600000",70915,2021,2094626,0,767625,0,0,1083333,0,0,0,0,243668,2274017,1464383,5137164,6408031,6056354,9227241,0,0,0,15283595,"1600000US1346356",14502,"Lilburn city"
"24","GA","offerman","11211300300000",90303,2021,2,0,2,0,0,0,0,0,0,0,0,38124,23086,115698,118958,130850,165016,0,0,0,295866,"1600000US1357568",450,"Offerman city"
"25","GA","concord","11211400100000",70793,2021,461248,0,52481,0,0,408768,0,0,0,0,0,284961,0,23751,428431,-24168,761310,0,0,0,737143,"1600000US1319168",378,"Concord city"
"26","GA","helen","11215400200000",70858,2021,1648088,0,434252,258002,836981,0,0,0,0,0,118853,1653503,34749,1207312,4672231,1880112,5687683,0,0,0,7567795,"1600000US1337788",531,"Helen city"
"27","GA","hoboken","11201300100000",70862,2021,132239,0,20583,0,0,111656,0,0,0,0,0,166536,5085,186829,364426,195566,527310,0,0,0,722876,"1600000US1339216",480,"Hoboken city"
