"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population"
"11","FL","florida",32221,2020,72860317000,17305365000,9369672000,0,0,22403000,8789980000,0,9146494000,0,805146000,20325056000,41518305000,2091029000,41905154000,1567146000,104272398000,1121422000,69824000,302342000,105839544000,NA,"12",21538226
"12","NC","north carolina",40620,2020,29040557000,7932866000,9927529000,10750000,0,221862000,2660223000,0,6130058000,8135000,619350000,6171045000,23947517000,1331941000,28188892000,2471300000,57168095000,0,0,0,59639395000,NA,"37",10439414
"13","NE","nebraska",35432,2020,3728215000,0,2771920000,31430000,0,0,375193000,120708000,14816000,0,135694000,1527307000,3271794000,3220000,6306484000,346700000,10762105000,0,0,0,11108805000,NA,"31",1961489
"14","ID","idaho",32673,2020,4075441000,899750000,1895009000,18317000,0,485099000,301989000,0,117490000,0,81981000,2135147000,4734215000,44547000,4969301000,1088114000,10795096000,663124000,159593000,37102000,11883210000,NA,"16",1839092
"15","SD","south dakota",38382,2020,2421365000,498066000,1637259000,133352000,0,0,0,2196000,0,0,99061000,756410000,2180217000,16780000,2047990000,371866000,4629531000,0,0,0,5001397000,NA,"46",886677
"16","SC","south carolina",38235,2020,15642105000,1971160000,5251471000,2267000,0,96170000,4024660000,0,3135126000,0,211882000,4507475000,12054994000,958867000,14279224000,2622328000,29178232000,0,0,0,31800560000,NA,"45",5118429
"17","OR","oregon",37525,2020,24144226000,11779762000,5709342000,7208000,70003000,304323000,3852015000,0,127778000,44077000,298326000,5411052000,16176680000,19985000,13686491000,-549821000,35844029000,49293000,13635000,0,35294208000,NA,"41",4237291
"18","MN","minnesota",34704,2020,23927324000,8483013000,6463164000,57053000,65223000,0,3107663000,0,630967000,0,527476000,4647960000,17612607000,238637000,27491111000,-14485000,50004800000,0,0,0,49990315000,NA,"27",5706504
"19","KS","kansas",33447,2020,9981002000,4348467000,2543938000,238007000,0,8314000,1904166000,0,49824000,0,119287000,1945942000,4752820000,67716000,10835678000,460590000,17141566000,0,0,0,17602156000,NA,"20",2937847
"20","MO","missouri",148599,2020,19395710000,2637727000,3812318000,42063000,0,0,7102432000,0,2966040000,0,195681000,3455955000,15158023000,887705000,12916859000,1001718000,31416824000,1526247,3041,0,32418542000,NA,"29",6154920
"21","KY","kentucky",90208,2020,41600354000,5973758000,3746164000,88051000,404919000,691490000,25870784000,0,3017085000,0,266573000,3884857000,12125363000,994683000,16654065000,2703433000,30955535000,40929000,0,0,33658968000,NA,"21",4505893
"22","AK","alaska",31574,2020,14129014000,668042000,5911223000,229730000,672105000,6563000,4675738000,18712000,106537000,118886000,185848000,1770780000,3302210000,791135000,3240394000,-1133281000,10237800000,0,0,0,9104519000,NA,"02",733378
"23","NJ","new jersey",40624,2020,213903087870,25401600000,7930629785,225300000,1279400000,1500000000,90812068247,200901,65491562252,0,491700000,10776148886,26141554978,118675957,36579660534,-1891550540,75507590895,0,0,0,73616040355,NA,"34",9289031
"24","NH","new hampshire",35545,2020,6048361000,1228878000,1671862000,17018000,2815000,174917000,941421000,0,1793348000,0,106978000,2362105000,3645391000,208728000,2466630000,-162851000,8845705000,130913,5406,5,8682854000,NA,"33",1377518
"25","NY","new york",42220,2020,188872000000,2266000000,42103000000,26000000,1832000000,0,4237000000,15000000,66006000000,1000000,1358000000,31613000000,72326000000,1392000000,84658000000,-1154000000,191143000000,0,0,0,189989000000,NA,"36",20201230
"26","WA","washington",39528,2020,84090857000,26732746000,9561046000,13057000,0,0,3338862000,0,5799742000,0,910960000,18206009000,23308319000,819304000,30275912000,-1631384000,74240928000,0,0,0,72609544000,NA,"53",7705247
"27","RI","rhode island",38202,2020,9830412000,3138775000,2218816000,170362000,0,10000000,3673476000,0,425747000,7238000,91960000,1910514000,4169776000,288421000,3863435000,-75490000,10307636000,0,0,0,10232146000,NA,"44",1097371
"28","NV","nevada",35504,2020,10676834000,2994689000,4013010000,11267000,0,0,2290134000,0,810288000,0,118600000,1041680000,9544787000,27732000,6156975000,-384633000,17155807000,0,0,0,16771174000,NA,"32",3104624
"29","CO","colorado",31946,2020,28766869000,4637188000,6879722000,155467000,0,70956000,11375438000,0,1085487000,0,639545000,9595254000,16162795000,740497000,14676708000,1937417000,39237837000,0,0,0,41175254000,NA,"08",5773733
"30","MA","massachusetts",149462,2020,113588290000,41939680000,5526424000,25956000,0,500000000,41643152000,0,17486660000,0,906461000,16462247000,27912554000,223610000,31985064000,-4019299000,80602774000,1833362000,8320121000,0,76583475000,NA,"25",7029949
"31","DE","delaware",32212,2020,15909284000,3503151400,1987209000,0,242819500,0,1835017000,4945000,7347246000,0,212001100,1904847000,3403497000,0,5188031000,152998000,10343377000,0,0,0,10496375000,NA,"10",989957
"32","MS","mississippi",95852,2020,13060607000,4686238000,2672089000,7637000,0,1080809000,3151705000,0,193113000,0,126506000,2592689000,9471374000,600990000,7836263000,454854000,20046462000,0,0,0,20501316000,NA,"28",2961288
"33","MI","michigan",80814,2020,35977177000,2088400000,7131778000,421300000,1439600000,3349760000,7540000000,0,9691000000,0,428800000,29249298000,25872521000,1187137000,31965132000,-1738206000,90012294000,4256618000,16561000,0,88274088000,NA,"26",10077325
"34","CT","connecticut",149448,2020,97821884000,29166415000,3388016000,15132000,0,0,39840819000,0,23023169000,0,728321000,6600462000,10118786000,784244000,18214167000,-1437622000,37155281000,0,0,0,35717659000,NA,"09",3605942
"35","DC","district of columbia",47298,2020,17091665000,6800186000,2362726000,74743000,367423000,0,229413000,596347000,0,19048000,494687000,1204996000,5851947000,278833000,9061957000,-156882000,16554615000,0,0,0,16397733000,"city of washington dc","11",689546
"36","LA","louisiana",90240,2020,31993734000,8419548000,6912535000,2229000,0,31897000,6614130000,0,5780776000,0,233104000,3188779000,20711584000,625059000,11816143000,483404000,35858161000,0,0,0,36341565000,NA,"22",4657749
"37","OK","oklahoma",37320,2020,7276923000,2265388000,4097748000,78000,0,59360000,321161000,38433000,150663000,29752000,177538000,3575443000,9908854000,0,10026298000,716970000,22793625000,0,0,0,23510595000,NA,"40",3959346
"38","GA","georgia",1265711,2020,42898593000,11199640000,14141466000,3023377000,0,329604000,7896789000,115550000,5624423000,253962000,682156000,8375990000,29451317000,1833731000,26325926000,490511000,65496453000,0,0,0,65986964000,NA,"13",10711937
"39","WY","wyoming",40122,2020,10270669870,13865082,7145725573,117252,0,0,463995694,0,381732888,0,68787262,753011345,1419909101,9928693,2518825856,-25059285,4726734280,0,0,0,4701674995,NA,"56",576837
"40","IL","illinois",399484,2020,263404811000,31531895000,25778585000,9871000,0,1545193000,143346569000,0,58996493000,0,401594000,8186570000,32401974000,1628823000,48964374000,-6687686000,97869427000,0,0,0,91181741000,NA,"17",12812545
"41","MD","maryland",149463,2020,65583150000,20700855000,6958216000,770343000,0,0,18912696000,0,17257184000,0,353144000,8764170000,17841944000,1067316000,22956689000,116684000,50513435000,305327000,201206000,0,50630119000,NA,"24",6177213
"42","VT","vermont",39343,2020,7263223731,675146062,1806660294,9157330,0,0,2387778363,0,2237128790,0,42012068,970409150,2651316508,184337107,3356200188,-258484737,7420747690,0,0,0,7162262953,NA,"50",643085
"43","AZ","arizona",40623,2020,24362565000,6207355000,6148699000,254081000,0,217762000,5470494000,0,1281292000,36036000,463129000,6023330000,23392276000,673685000,18109069000,912968000,47285392000,0,0,0,48198360000,NA,"04",7151507
"44","AL","alabama",31550,2020,13679635000,4941832000,2722165000,91916000,78034000,0,3664524000,0,1698962000,0,330270000,2871100000,13023279000,1045727000,13168595000,1250988000,28857713000,183252000,2934470000,0,30108701000,NA,"01",5024356
"45","HI","hawaii",71062,2020,28421578000,10028955000,2708675000,139696000,0,600000000,7226416000,0,6977722000,0,262056000,2994083000,3597822000,95720000,7820357000,-951259000,15459241000,0,0,0,14507982000,NA,"15",1455273
"46","MT","montana",64951,2020,5140282000,119928000,2176914000,20643000,0,98148000,2254594000,39567000,46410000,0,111510000,1129383000,3001729000,565381000,3516732000,562099000,7651126000,0,0,0,8213225000,NA,"30",1084197
"47","NM","new mexico",82166,2020,14617951000,4145804000,3134067000,546000,12069000,12506000,5617739000,0,1159319000,0,182688000,5003655000,9670207000,470015000,8414518000,1856427000,21701968000,0,0,0,23558395000,NA,"35",2117527
"48","UT","utah",39282,2020,8052895000,4431385000,2472354000,28380000,0,183000,730772000,0,18760000,0,210811000,2215514000,5351354000,180207000,9494647000,1052245000,16189477000,104028000,3272000,0,17241722000,NA,"49",3271614
"49","IN","indiana",196751,2020,19776175000,0,6709986000,832347000,0,0,11792876000,0,190159000,0,194149000,3785661000,19009873000,1249899000,18491040000,919477000,41616996000,0,0,0,42536473000,NA,"18",6785668
"50","IA","iowa",1036991,2020,9758958000,3190775000,3087152000,46661000,0,0,1078093000,0,456472000,0,549822000,6983980000,9234739000,576230000,9934191000,1235739000,25493401000,4533254000,1418009000,31680000,26729140000,NA,"19",3190372
"51","CA","california",31665,2020,408305319000,109854424000,85723585000,750161000,2417879000,2163863000,92089623000,0,90486960000,0,4401397000,58888202000,146264025000,2107963000,179355805000,-337779000,386953774000,0,0,0,386615995000,NA,"06",39538245
