"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","sumlev","state","county_code","place","cousub","concit","funcstat","state.name","population"
"625","MS","forrest county","25101801800000",34933,2020,67672157,17207164,3509194,0,0,3445945,42415214,0,0,0,554040,3434407,5403131,1671414,37097850,1107595,46499207,0,0,0,47606802,50,28,35,0,0,0,"A","Mississippi",78185
"626","VA","augusta county","47100800800000",230216,2020,109688579,74620660,12794422,1375872,0,0,11033402,0,7596861,0,2267362,7927419,22870708,1635216,96699561,445503,128687401,0,0,0,129132904,50,51,15,0,0,0,"A","Virginia",77567
"627","WA","clallam county","48100500500000",42749,2020,0,0,0,0,9917675,0,0,0,0,0,3169045,15352614,21904847,0,51154233,33687,88378007,0,0,0,88411694,50,53,9,0,0,0,"A","Washington",77357
"628","TN","anderson county","43100100100000",197408,2020,68698757,53299448,3102372,29879,8394000,1303842,0,3413650,520475,0,697487,14023986,4194719,535788,29806567,2785875,45775185,0,0,0,48561060,50,47,1,0,0,0,"A","Tennessee",77302
"629","OH","ross county","36107107100000",36910,2020,0,0,0,0,0,0,0,0,0,0,0,0,5421362,0,4798748,1832763,8387347,0,0,0,10220110,50,39,141,0,0,0,"A","Ohio",77064
"630","NY","cattaraugus county","33100500400000",42892,2020,493045337,44715473,31942494,1306021,0,0,58134568,0,338251845,0,7431474,48190041,40534023,6242360,107616141,-9312714,211895279,0,0,0,202582565,50,36,9,0,0,0,"A","New York",76992
"631","AR","white county","04107307300000",108535,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,145,0,0,0,"A","Arkansas",76851
"632","GA","jackson county","11107807800000",196500,2020,114072225,74861733,7324639,0,0,0,8623779,0,20290315,0,1202643,15960558,3334477,2479769,68488991,10722015,79541780,0,0,0,90263795,50,13,157,0,0,0,"A","Georgia",76717
"633","NC","chatham county","34101901900000",36524,2020,283690151,199347924,14245458,0,46111038,0,12306622,143297,9694018,0,1985091,21963850,10481521,0,113566462,-37922730,183934563,0,0,0,146011833,50,37,37,0,0,0,"A","North Carolina",76670
"634","MO","cole county","26102602600000",44566,2020,13972414,864331,2149270,367798,0,0,3353850,4263374,0,0,1477048,10459547,13549418,358881,33179839,10246799,47300886,0,0,0,57547685,50,29,51,0,0,0,"A","Missouri",76614
"635","TX","walker county","44123623600000",65221,2020,56007585,13443221,3719059,0,0,451918,16271351,0,20947733,0,1174303,8000230,8664102,0,25996327,802515,41858144,0,0,0,42660659,50,48,471,0,0,0,"A","Texas",76544
"636","NH","cheshire county","30100300300000",35547,2020,87701485,49357840,6746912,30369,0,0,27177256,0,3303439,0,924169,13361961,11959895,270071,29801639,2871043,52522523,0,0,0,55393566,50,33,5,0,0,0,"A","New Hampshire",76541
"637","NM","valencia county","32103203200000",47634,2020,37771409,6940000,1429273,0,276113,0,19341559,0,6780159,0,697609,1794748,6770218,816018,29687816,6291147,32777653,0,0,0,39068800,50,35,61,0,0,0,"A","New Mexico",76369
"638","NY","cayuga county","33100600500000",42943,2020,252202941,50108557,17925937,1362820,0,0,33551163,0,145470448,0,3784016,38157589,30826113,6749184,92671545,-7996727,176401158,0,0,0,168404431,50,36,11,0,0,0,"A","New York",76198
"639","FL","walton county","10106606600000",32264,2020,198451242,0,22455186,1745866,0,20470739,113424645,0,30317000,0,5224870,17488699,15286013,6010558,159333608,18127750,179991128,0,0,0,198118878,50,12,131,0,0,0,"A","Florida",75937
"640","WA","grays harbor county","48101401400000",39532,2020,0,2855426,0,0,3949985,0,6713424,2465248,26331750,0,1995206,18093348,23448816,0,50157873,3982268,87717769,0,0,0,91700037,50,53,27,0,0,0,"A","Washington",75855
"641","MI","van buren county","23108008000000",34287,2020,36677814,4315000,5327057,0,0,6158497,14442095,0,4300273,0,2134892,7258687,9009750,64165,22412227,-429086,39173915,0,0,0,38744829,50,26,159,0,0,0,"A","Michigan",75576
"642","OH","erie county","36102202200000",1035939,2020,193209404,16009105,6586875,435610,79712938,0,45194026,0,30274176,0,4189187,43631219,27535138,4004014,37240785,-16710707,129121863,0,0,0,112411156,50,39,43,0,0,0,"A","Ohio",75475
"643","OH","hancock county","36103203200000",36885,2020,82913251,10725241,4050330,0,0,39878,29311796,315679,19805726,33620,3468335,14560140,29405998,2267505,36462207,2526243,80169607,0,0,0,82695850,50,39,63,0,0,0,"A","Ohio",74930
"644","NM","lea county","32101301300000",35911,2020,54412925,0,3164773,0,0,0,37120253,0,13129405,0,998494,3976086,5883342,1732322,107060993,37574847,81077896,0,0,0,118652743,50,35,25,0,0,0,"A","New Mexico",74635
"645","WI","wood county","50107207200000",39879,2020,49972740,27802228,13527418,327118,0,0,0,6324695,1430071,0,6885905,25089693,29048065,659794,35049467,13777169,76069850,0,0,0,89847019,50,55,141,0,0,0,"A","Wisconsin",74197
"646","AR","lonoke county",NA,59771,2020,3059864,0,3059864,68811,0,29520,8542020,0,0,0,0,0,0,0,21899273,3256116,18643157,0,0,0,21899273,50,5,85,0,0,0,"A","Arkansas",74046
"647","PA","somerset county","39105605500000",37724,2020,33215131,26320544,3855081,1366103,0,0,415439,0,0,0,1257963,2397737,28174087,2066892,27296481,8349055,51586142,0,0,0,59935197,50,42,111,0,0,0,"A","Pennsylvania",74016
"648","IL","vermilion county","14109209200000",32788,2020,9650674,0,2498711,1983700,0,0,0,4493004,4879237,0,289026,3620765,1238665,0,40351233,2762279,42448384,0,0,0,45210663,50,17,183,0,0,0,"A","Illinois",74001
"649","OH","scioto county","36107307300000",84307,2020,82854390,0,0,0,0,0,29818208,137011,18917824,94153,0,13504681,31889604,3380233,27999953,4656160,72118311,0,0,0,76774471,50,39,145,0,0,0,"A","Ohio",73844
"650","FL","putnam county","10105405400000",44085,2020,128993420,25559400,7682635,364782,0,5953048,64026083,0,2683787,0,2567900,26386570,10548283,7708118,57769991,8598844,93814118,0,0,0,102412962,50,12,107,0,0,0,"A","Florida",73376
"651","UT","tooele county","45102302300000",44984,2020,40353403,24669815,4043867,341657,0,0,5858204,0,3478023,0,1961837,20873857,27445290,2886392,33272297,22168680,62309156,0,0,0,84477836,50,49,45,0,0,0,"A","Utah",73338
"652","HI","kauai county","12100300300000",96559,2020,725655421,106375000,85294801,9812540,20951003,0,302214383,0,145212075,0,16194072,38013828,50605882,36622974,179327501,42247464,262322721,0,0,0,304570185,50,15,7,0,0,0,"A","Hawaii",73186
"653","ND","grand forks county","35101801800000",1035850,2020,51914698,6077844,172055,0,0,0,42790170,0,1065875,0,1808753,4627768,14319014,0,23507832,-2211607,44666222,0,0,0,42454615,50,38,35,0,0,0,"A","North Dakota",73126
"654","VA","fauquier county","47103103100000",230310,2020,160394876,59257189,17913180,37253746,0,0,10468170,0,7196713,0,5507319,8363996,19551424,6514015,193055059,19259678,208224816,0,0,0,227484494,50,51,61,0,0,0,"A","Virginia",72990
"655","TN","robertson county","43107407400000",197507,2020,133058609,126720152,1379051,0,0,1318575,0,1770755,0,0,2246446,16469913,3970773,1469818,44281935,2575051,63617388,0,0,0,66192439,50,47,147,0,0,0,"A","Tennessee",72945
"656","KY","christian county","18102402400000",46454,2020,0,14755000,0,0,1114158,0,0,0,0,0,0,443782,12942404,0,15313004,-1815181,30514371,0,0,0,28699190,50,21,47,0,0,0,"A","Kentucky",72768
"657","MS","lauderdale county","25103803800000",119278,2020,92091409,40206395,4855293,1840371,845452,0,43574519,0,0,0,769379,15518615,4022669,4560668,33632956,5444575,52290333,0,0,0,57734908,50,28,75,0,0,0,"A","Mississippi",72672
"658","NM","mckinley county","32101701700000",65471,2020,41887330,7915000,4073757,0,0,0,21088719,0,7284026,0,907595,6156039,19532728,0,32948094,14357335,44279526,0,0,0,58636861,50,35,31,0,0,0,"A","New Mexico",72578
"659","KS","riley county","17108108100000",33452,2020,0,5698095,0,5359625,0,375000,16172201,0,0,0,0,0,0,0,72247806,-442002,72689808,0,0,0,72247806,50,20,161,0,0,0,"A","Kansas",72013
"660","IN","morgan county","15105505500000",93289,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,109,0,0,0,"A","Indiana",71848
"661","OK","creek county","37101901900000",84870,2020,0,0,0,0,0,0,0,0,0,0,0,0,12968,0,23363888,200270,23176586,0,0,0,23376856,50,40,37,0,0,0,"A","Oklahoma",71837
"662","AL","dekalb county","01102502500000",95993,2020,32941102,542040,986693,4153172,0,0,10518182,0,7335120,0,670896,5557784,9339056,426635,12447617,4599300,23171792,0,0,0,27771092,50,1,49,0,0,0,"A","Alabama",71648
"663","NC","surry county","34108608600000",36660,2020,97386614,35142735,7131753,1066105,0,0,12013130,124513,12880562,0,2518149,13447421,11632375,4236580,64522221,-10233182,104071779,0,0,0,93838597,50,37,171,0,0,0,"A","North Carolina",71372
"664","MT","lewis and clark county","27102502500000",42296,2020,43971796,11298377,1923971,0,1134402,0,23930839,0,1732934,0,2578513,8064875,6102837,1008837,40226198,2081486,53321261,0,0,0,55402747,50,30,49,0,0,0,"A","Montana",71168
"665","IN","boone county","15400620100000",143805,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,11,0,0,0,"A","Indiana",71134
"666","WI","portage county","50105005000000",39861,2020,25503222,0,5651492,0,0,14683612,0,6200194,0,0,3626604,30359204,17408125,818747,46510325,11590669,83505732,0,0,0,95096401,50,55,97,0,0,0,"A","Wisconsin",70402
"667","TN","greene county","43103003000000",197444,2020,23245149,16455000,3118885,0,440883,0,0,1534008,1124681,0,1124681,10570217,4934157,2165307,28096231,6318393,39447519,0,0,0,45765912,50,47,59,0,0,0,"A","Tennessee",70333
"668","VA","york county","47110010000000",230497,2020,201768131,123094382,28995017,1515179,0,0,27804335,0,11836437,0,7432881,28579852,15396193,3587581,142013150,-2380934,191957710,0,0,0,189576776,50,51,199,0,0,0,"A","Virginia",70228
"669","LA","iberia parish","19102302200000",95040,2020,43294756,21028919,2762036,0,0,0,35982,0,18045843,0,427273,884729,5367385,1055254,22762817,-2854686,32924871,638473,0,0,30070185,50,22,45,0,0,0,"A","Louisiana",70054
"670","ND","ward county","35105105100000",81826,2020,64109308,26973838,319438,0,0,0,34784283,0,978968,0,1052781,4677821,6416482,0,33498396,7412945,37179754,0,0,0,44592699,50,38,101,0,0,0,"A","North Dakota",69923
"671","FL","columbia county","10101201200000",96398,2020,83999993,12497741,6209582,1950429,0,762968,50175794,0,344293,0,2684737,21883191,11169624,6341571,52799042,10318879,81874549,0,0,0,92193428,50,12,23,0,0,0,"A","Florida",69737
"672","OR","klamath county","38101801800000",103183,2020,26388188,0,4113166,0,63333,0,15166415,0,930393,0,2098456,14910955,23812045,16906,25395570,-7936620,72072096,0,0,0,64135476,50,41,35,0,0,0,"A","Oregon",69547
"673","SC","greenwood county","41102402400000",44010,2020,72531105,0,4461237,2255714,0,0,31968626,0,27299804,0,970382,13043099,7939892,1368831,35313643,3323222,54342243,0,0,0,57665465,50,45,47,0,0,0,"A","South Carolina",69388
"674","GA","troup county","11114114100000",32462,2020,52838751,0,7110634,2310031,0,0,20388040,0,11923311,0,1048900,9074544,6185851,1959058,50531132,2253778,65496807,0,0,0,67750585,50,13,285,0,0,0,"A","Georgia",69323
"675","MN","blue earth county","24100700700000",43390,2020,69713629,22624369,6083612,0,2907586,0,24576720,0,4523037,0,4017404,17715964,37523422,2251385,51163633,23582825,85071579,0,0,0,108654404,50,27,13,0,0,0,"A","Minnesota",69211
"676","NC","franklin county","34103503500000",36558,2020,124446362,43436432,6122605,0,180000,0,12314591,111667,43822797,0,1980803,28663726,12586629,1026008,69136009,1551347,109861025,0,0,0,111412372,50,37,69,0,0,0,"A","North Carolina",69115
"677","TX","wise county","44124924900000",88509,2020,46252717,29169815,2562763,0,0,6820000,5281105,0,874437,0,1192857,8430073,4807330,0,39302183,-1690353,54229939,0,0,0,52539586,50,48,497,0,0,0,"A","Texas",68943
"678","TX","san patricio county","44120520500000",38643,2020,65994386,40887256,2787846,2845373,11579525,0,5272147,0,1194465,0,524062,4555591,2740605,1221466,45637718,3110680,51044700,0,0,0,54155380,50,48,409,0,0,0,"A","Texas",68838
"679","TX","harrison county","44110210200000",88203,2020,22267467,1230000,1699212,1065546,0,583480,2114933,0,14150789,0,1423507,5015475,2642314,62462,24587783,4517375,27790659,0,0,0,32308034,50,48,203,0,0,0,"A","Texas",68798
"680","CA","lake county","05101701700000",31684,2020,143912888,3840000,12557280,0,1400466,0,94280620,0,12059133,0,3537286,37647948,101928817,2144584,40541027,3739333,178523043,3868138,544037,0,182262376,50,6,33,0,0,0,"A","California",68195
"681","GA","catoosa county","11102302300000",64803,2020,11303255,0,2564768,0,0,850764,0,0,0,0,1085115,6913816,5973564,121497,43995251,1834123,55170005,0,0,0,57004128,50,13,47,0,0,0,"A","Georgia",68006
"682","MI","shiawassee county","23107807800000",43521,2020,53954298,11229085,3000073,0,1065961,0,36707711,0,1320644,0,630824,7680609,8644761,0,13230680,1162543,28393507,0,0,0,29556050,50,26,155,0,0,0,"A","Michigan",68006
"683","MD","allegany county","21100100100000",33955,2020,123120774,31747498,15452141,0,26722696,195841,22207397,0,21668757,0,5338123,19620386,8288736,4581483,90243540,-2117925,124852070,4198183,40119,0,122734145,50,24,1,0,0,0,"A","Maryland",67955
"684","NY","madison county","33102702500000",43198,2020,205104606,4790000,25287187,1983269,3054607,0,34442137,0,83227724,0,4787558,12197567,23951929,2128228,83061965,-11283568,132623257,0,0,0,121339689,50,36,53,0,0,0,"A","New York",67927
"685","KY","mccracken county","18107307300000",196802,2020,0,10650000,0,0,0,3633562,0,0,0,0,0,166743,0,0,40046885,1231925,38981703,0,0,0,40213628,50,21,145,0,0,0,"A","Kentucky",67911
"686","NM","otero county","32101901900000",65177,2020,105979680,70634122,12231659,1784412,2429240,0,18342557,0,0,0,557690,66426329,5951748,2283980,29921274,7301518,97281813,0,0,0,104583331,50,35,35,0,0,0,"A","New Mexico",67873
"687","GA","walker county","11414610100000",140503,2020,30925531,17525000,2174063,531406,0,793980,2878452,0,0,0,1189975,10361754,3996272,1107173,39590636,17747128,37308707,1413513,0,0,55055835,50,13,295,0,0,0,"A","Georgia",67742
"688","NC","carteret county","34101601600000",36517,2020,54070410,21638550,7511458,0,0,0,9740617,179186,7605662,0,1650439,8822005,64474699,4154597,84702936,27361712,134792525,0,0,0,162154237,50,37,31,0,0,0,"A","North Carolina",67724
"689","KY","oldham county","18109309300000",44685,2020,0,29232783,0,2180000,0,0,0,0,0,0,0,825322,15381046,0,24956652,4503344,36659676,0,0,0,41163020,50,21,185,0,0,0,"A","Kentucky",67692
"690","SC","laurens county","41103003000000",65165,2020,61618483,10524393,2013418,4032738,0,0,27763467,0,16585851,0,698616,8946378,5191581,3103999,26153218,-1903139,45298315,0,0,0,43395176,50,45,59,0,0,0,"A","South Carolina",67624
"691","GA","spalding county","11112612600000",71006,2020,44546884,9092559,1932063,5612143,0,0,18309390,0,2193549,0,1425146,11856043,2933777,345137,50117215,-8380305,73632477,0,0,0,65252172,50,13,255,0,0,0,"A","Georgia",67455
"692","KS","butler county","17100800800000",44378,2020,0,2212000,0,442410,0,0,15613756,0,0,0,0,0,0,0,73593821,-1165254,74759075,0,0,0,73593821,50,20,15,0,0,0,"A","Kansas",67390
"693","MS","jones county","25103403400000",81567,2020,106247483,49168353,4283670,10167768,473815,0,41184379,0,0,0,969498,4592858,5592848,85383,34831927,3334383,41768633,0,0,0,45103016,50,28,67,0,0,0,"A","Mississippi",67163
"694","IL","williamson county",NA,1036303,2020,29353557,21235000,612937,0,0,0,5513965,0,0,0,1991655,11655627,12387316,505948,13505008,2938569,35115330,0,0,0,38053899,50,17,199,0,0,0,"A","Illinois",67113
"695","MN","rice county","24106606600000",34735,2020,57854796,23864742,3274251,0,2186243,0,20823772,0,1795995,0,2831959,11826948,27698534,4580782,40047876,16180499,67973641,0,0,0,84154140,50,27,131,0,0,0,"A","Minnesota",67086
"696","MI","ionia county","23103403400000",34266,2020,39425778,0,2787839,0,3287805,0,14335902,0,17951471,0,1054761,8843214,15698136,1333751,12636287,282918,38228470,0,0,0,38511388,50,26,67,0,0,0,"A","Michigan",66855
"697","AR","jefferson county","04103503500000",1035660,2020,1780303,3017591,1780303,14840533,0,0,0,0,0,0,718443,0,0,0,0,0,0,0,0,0,0,50,5,69,0,0,0,"A","Arkansas",66833
"698","MI","montcalm county","23105905900000",44103,2020,15339200,4245000,1516623,0,0,590000,7030508,0,1390752,0,566317,10365812,4380791,0,13053134,7587896,20211841,0,0,0,27799737,50,26,117,0,0,0,"A","Michigan",66648
"699","IN","wayne county","15108908900000",33219,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,177,0,0,0,"A","Indiana",66513
"700","IN","grant county","15102702700000",33194,2020,0,8080000,0,700823,0,1343797,0,0,0,0,0,0,0,0,176961718,3007149,173954569,0,0,0,176961718,50,18,53,0,0,0,"A","Indiana",66475
"701","WI","chippewa county","50100900900000",42790,2020,27527774,0,11132757,0,0,10575217,0,4359495,3099733,0,2720067,6486414,29649488,459429,29955151,4813509,61736973,0,0,0,66550482,50,55,17,0,0,0,"A","Wisconsin",66337
"702","OH","belmont county","36100700700000",36867,2020,149999693,55942200,5198013,0,4041440,16555000,38509868,0,25529559,53006,3743613,18471939,23775326,1014133,48499261,6079902,85680757,0,0,0,91760659,50,39,13,0,0,0,"A","Ohio",66283
"703","MN","crow wing county","24101801800000",34716,2020,78082818,180954,3348960,325950,0,0,21683670,0,44259707,0,3608241,15427781,36419534,2466458,53766803,20552684,87527892,0,0,0,108080576,50,27,35,0,0,0,"A","Minnesota",66277
"704","OK","muskogee county","37105105100000",125442,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22525017,1525085,20999932,0,0,0,22525017,50,40,101,0,0,0,"A","Oklahoma",66241
"705","WA","mason county","48102302300000",39535,2020,0,0,0,0,0,0,0,0,0,0,0,19256358,19738820,0,59709452,7136162,91568468,0,0,0,98704630,50,53,45,0,0,0,"A","Washington",66029
"706","MI","marquette county","23105205200000",34276,2020,97512923,2275000,4342380,136469,0,0,36246729,0,51542929,0,2969416,25407714,14956088,1345823,27065085,14836942,53937768,0,0,0,68774710,50,26,103,0,0,0,"A","Michigan",66012
"707","AZ","apache county","03100100100000",31612,2020,44678861,700000,1752490,452572,0,0,39832295,0,0,622975,1941504,2742006,15691337,936815,28915831,4656327,43629662,0,0,0,48285989,50,4,1,0,0,0,"A","Arizona",65911
"708","NC","wilkes county","34109709700000",103092,2020,85130987,0,4112706,0,0,0,10240814,103728,31068041,0,2286911,11933418,13442032,1170861,63491955,3015237,87023029,0,0,0,90038266,50,37,193,0,0,0,"A","North Carolina",65904
"709","TX","starr county","44121421400000",98549,2020,7711848,458333,3473349,97477,0,532845,2518109,0,0,0,631735,10526737,5672621,0,17879880,721305,33357933,0,0,0,34079238,50,48,427,0,0,0,"A","Texas",65861
"710","WI","sauk county","50105705700000",43374,2020,25459095,9054819,7119341,0,0,0,0,7391216,3241174,0,3958617,14345615,29996181,7627,44766481,3815554,85300350,0,0,0,89115904,50,55,111,0,0,0,"A","Wisconsin",65793
"711","CA","tehama county","05105205100000",31728,2020,127249786,295200,10949012,26364,0,0,99343606,0,1778477,0,4210029,17583375,87285219,5559779,36729764,3942214,143215923,0,0,0,147158137,50,6,103,0,0,0,"A","California",65682
"712","SD","lincoln county","42104204100000",87739,2020,0,0,0,0,0,0,0,14475,0,0,0,3691612,6740405,0,16862292,1128064,26166246,0,0,0,27294310,50,46,83,0,0,0,"A","South Dakota",65650
"713","NY","warren county","33105705200000",36014,2020,227533405,44376859,29569436,577531,0,0,45371349,0,99851909,0,6069321,13703437,26834259,3427521,113521905,10895494,146591628,0,0,0,157487122,50,36,113,0,0,0,"A","New York",65618
"714","IL","adams county","14100100100000",211174,2020,47212770,31247214,7388079,0,0,200000,5987077,0,1797715,0,592685,7232694,7403959,3212265,20012147,-2038677,39899742,0,0,0,37861065,50,17,1,0,0,0,"A","Illinois",65612
"715","SC","kershaw county","41102802800000",98506,2020,79795952,29295334,6494891,677062,0,0,33572845,0,7692189,0,954391,14519265,340131,1554323,33907364,1513910,48807173,0,0,0,50321083,50,45,55,0,0,0,"A","South Carolina",65581
"716","PA","armstrong county","39100300300000",56315,2020,59723964,3996659,3702641,0,44930000,0,5633694,0,0,0,892806,6477853,22641731,0,19037487,3426172,44730899,0,0,0,48157071,50,42,5,0,0,0,"A","Pennsylvania",65459
"717","OH","marion county","36105105100000",36896,2020,58964526,8450060,2865733,0,343684,0,26942078,223219,18354777,0,2008194,7122497,26626480,703243,30899701,4279690,61072231,1318369,1712,0,65351921,50,39,101,0,0,0,"A","Ohio",65399
"718","MN","clay county","24101401400000",42733,2020,98306437,60522288,7260511,36231,0,0,21014693,0,1784946,0,3910136,18436312,26838133,1527807,51919834,14358881,84363205,0,0,0,98722086,50,27,27,0,0,0,"A","Minnesota",65332
"719","GA","liberty county","11108908900000",70913,2020,84793468,24285733,3052795,643784,0,0,20796711,0,33820936,0,1542329,12447932,4060273,750568,37541566,302281,54498058,0,0,0,54800339,50,13,179,0,0,0,"A","Georgia",65317
"720","OH","jefferson county","36104104100000",46988,2020,98560531,21133977,4709518,2082,8970279,0,35360772,0,22583801,108205,3760339,16179660,36788252,8158276,31216382,8718930,83623640,0,0,0,92342570,50,39,81,0,0,0,"A","Ohio",65171
"721","GA","effingham county","11105105100000",399294,2020,42903778,30384539,7129327,2581533,0,0,0,0,0,0,1186283,20248032,1358818,5669136,47553987,12054734,62775239,0,0,0,74829973,50,13,103,0,0,0,"A","Georgia",65158
"722","KY","pulaski county","18110010000000",189755,2020,0,26378011,0,3050962,0,0,0,0,0,0,0,0,0,0,44577046,3645659,40931387,0,0,0,44577046,50,21,199,0,0,0,"A","Kentucky",65104
"723","OR","coos county","38100600600000",103173,2020,47148890,3680000,4831961,745292,0,0,32774611,0,1605763,0,2029313,30392436,16853976,460931,12219024,-7566799,67493166,0,0,0,59926367,50,41,11,0,0,0,"A","Oregon",64971
"724","PA","carbon county","39101301300000",37705,2020,26343239,20880000,4608007,188728,0,32693,0,2324364,0,0,633811,7071010,17333907,1175964,22079892,3977061,43683712,0,0,0,47660773,50,42,25,0,0,0,"A","Pennsylvania",64744
"725","PA","columbia county","39101901900000",37709,2020,26319498,9095920,7301766,3934368,0,1260000,4563414,0,0,0,164030,5287222,18617976,413628,15239089,-2196204,41754119,0,0,0,39557915,50,42,37,0,0,0,"A","Pennsylvania",64682
"726","TX","nacogdoches county","44117417400000",88386,2020,9904623,3879403,1612151,1318833,0,0,2694401,0,0,0,399835,4597975,1355951,624830,20704889,2585150,24698495,0,0,0,27283645,50,48,347,0,0,0,"A","Texas",64619
"727","TN","hamblen county","43103203200000",197447,2020,48566893,22891137,12244780,0,12988769,0,0,1221689,442203,0,0,5462878,3288814,509048,24009119,-5117195,38387054,0,0,0,33269859,50,47,63,0,0,0,"A","Tennessee",64537
"728","CA","san benito county","05103503500000",165549,2020,123198890,0,21441815,8407078,259897,0,61855501,0,3946333,0,3664648,18561151,58005222,6590453,26627909,7503227,102281508,0,0,0,109784735,50,6,69,0,0,0,"A","California",64521
"729","MI","isabella county","23103703700000",65167,2020,19594432,0,3057293,0,0,0,14724732,0,0,0,532129,6434869,5752724,0,18225058,-1214447,31627098,452982,27300,0,30412651,50,26,73,0,0,0,"A","Michigan",64513
"730","NC","rutherford county","34108108100000",36648,2020,98298661,1591955,6004146,0,115990,0,9671751,119427,32129165,0,1479936,10420650,10956794,3321954,67075070,4990512,86783956,0,0,0,91774468,50,37,161,0,0,0,"A","North Carolina",64479
"731","MS","lamar county","25103703700000",81568,2020,57298161,8684879,3881314,373124,1532436,0,41752948,0,0,0,1073460,3155996,3314925,484295,36848280,-4846934,48650430,0,0,0,43803496,50,28,73,0,0,0,"A","Mississippi",64384
"732","IN","warrick county","15108708700000",33218,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,173,0,0,0,"A","Indiana",63996
"733","SC","georgetown county","41102202200000",44700,2020,185586482,61630843,10963563,12089709,56909,0,55303915,0,33855346,0,1908049,14762549,8141352,1800234,66069031,-1166983,91940149,0,0,0,90773166,50,45,43,0,0,0,"A","South Carolina",63506
"734","NC","lee county","34105305300000",36594,2020,130871824,61192493,2478158,0,0,326749,7441208,99288,27302597,0,2030619,4490416,8174691,861276,67680550,467464,80739469,0,0,0,81206933,50,37,105,0,0,0,"A","North Carolina",63428
"735","AR","pope county","04105805800000",110913,2020,2295183,0,2295183,401272,0,0,13796011,0,0,0,420161,0,0,0,26085293,1558013,24527280,0,0,0,26085293,50,5,115,0,0,0,"A","Arkansas",63403
"736","OH","union county","36108008000000",36915,2020,74443200,12242014,3695726,0,979017,4500000,30440155,336438,19656553,157030,2929735,12640960,23730798,8604770,41151513,11373579,74754462,0,0,0,86128041,50,39,159,0,0,0,"A","Ohio",63089
"737","SC","darlington county","41101601600000",38261,2020,37304907,3164485,2374835,1974261,0,0,27621511,0,852182,0,885643,7892224,5893775,205805,28924658,4559606,38356856,0,0,0,42916462,50,45,31,0,0,0,"A","South Carolina",62843
"738","OH","knox county","36104204200000",36890,2020,62985575,9755152,3312273,790739,2203394,0,26295361,0,18051269,0,1552359,7088266,23476115,2151586,32850636,3589686,61976917,2534970,33465,119205,65566603,50,39,83,0,0,0,"A","Ohio",62783
"739","NE","hall county","28104004000000",35437,2020,670798,9545000,670798,239646,0,0,0,0,0,0,0,15922696,2156069,464861,27207584,2455539,43295671,0,0,0,45751210,50,31,79,0,0,0,"A","Nebraska",62760
"740","OK","garfield county","37102402400000",125418,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25451885,1022883,24429002,0,0,0,25451885,50,40,47,0,0,0,"A","Oklahoma",62692
"741","NC","stanly county","34108408400000",36656,2020,51504063,5796760,11618465,5518860,1592898,625000,9170098,112691,7681099,0,1654499,13804428,10908438,2369349,53159316,2158630,78082901,0,0,0,80241531,50,37,167,0,0,0,"A","North Carolina",62638
"742","WA","walla walla county","48103603600000",45688,2020,10482427,0,1838918,0,0,0,4745501,1495750,2658620,0,1219388,7763344,12286801,6013570,34803484,11575947,49291252,0,0,0,60867199,50,53,71,0,0,0,"A","Washington",62619
"743","OH","athens county","36100500500000",82495,2020,92164623,21060707,2555371,3259708,625296,309132,36599339,0,23889440,0,2477674,8660501,34313402,21314,32957898,-1483887,77437002,0,0,0,75953115,50,39,9,0,0,0,"A","Ohio",62371
"744","NM","eddy county","32100800800000",35910,2020,65875428,0,3445896,2216299,1238319,0,43813396,0,13889421,0,1272097,3493501,3679718,5175682,116700647,42917704,86131844,0,0,0,129049548,50,35,15,0,0,0,"A","New Mexico",62329
"745","NC","haywood county","34104404400000",36576,2020,95873651,12041000,5481778,0,0,25121506,11027424,135886,37632787,0,2581858,11131452,15714096,290933,71996709,8298327,90834863,0,0,0,99133190,50,37,87,0,0,0,"A","North Carolina",62223
"746","TX","hood county","44111111100000",88218,2020,23620726,11611247,1330813,0,0,9593000,0,0,0,0,1085666,4975538,2077815,0,34227789,5485731,35795411,0,0,0,41281142,50,48,221,0,0,0,"A","Texas",62054
"747","KS","reno county","17107807800000",33451,2020,0,4875000,0,560896,0,6279225,18903624,0,0,0,0,0,0,0,79622721,202766,79419955,0,0,0,79622721,50,20,155,0,0,0,"A","Kansas",61887
