"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","sumlev","state","county_code","place","cousub","concit","funcstat","state.name","population"
"116","IN","lake county","15104504500000",33207,2020,453148883,90004814,15299183,1287965,0,0,42792883,2312836,292252280,0,5770332,20029734,33535879,480405,299417100,53008394,300454724,0,0,0,353463118,50,18,89,0,0,0,"A","Indiana",498932
"117","ID","ada county","13100100100000",43410,2020,147809654,2357736,19850848,5212256,0,0,77093670,0,0,0,8414374,76057420,13886239,1224823,195475920,15834343,270810059,10469193,8281302,322628,286644402,50,16,1,0,0,0,"A","Idaho",498260
"118","IA","polk county","16107707700000",33310,2020,389072123,248620730,21765263,1056235,0,23131000,49746611,0,14647000,0,19007684,83970538,22171974,8304284,207649048,21382861,300712983,0,0,0,322095844,50,19,153,0,0,0,"A","Iowa",492997
"119","CA","sonoma county","05104904800000",67892,2020,1092460000,376079000,107194000,3937000,85071000,256000,187359000,0,216719000,0,35987000,138541000,529243000,7500000,406145000,137213000,944216000,0,0,0,1081429000,50,6,97,0,0,0,"A","California",488281
"120","NV","washoe county","29101601600000",35516,2020,917385946,128400459,55285621,5058223,0,0,413343289,0,236411294,0,31419366,123215058,74736259,28845534,391214434,9624441,608386844,457449,2985104,0,618011285,50,32,31,0,0,0,"A","Nevada",487674
"121","VA","prince william county","47107607600000",401049,2020,1787836000,1113606000,253270000,68295000,21153000,0,200496000,817000,48523000,663000,43373000,77425000,110909000,75832000,1209750000,18544000,1455372000,0,0,0,1473916000,50,51,153,0,0,0,"A","Virginia",482790
"122","TN","knox county","43104704700000",223210,2020,898984397,674053866,71910812,11146559,1754661,0,121292160,185713,6211127,0,12615212,48893810,26916372,6548486,271341041,13889507,339810202,0,0,0,353699709,50,47,93,0,0,0,"A","Tennessee",480500
"123","NY","onondaga county","33103403100000",35994,2020,1884884705,559806005,180515934,0,264122515,0,213400135,0,618643458,0,14076257,160143869,229775954,15924122,538171923,32815396,911200472,0,0,0,944015868,50,36,67,0,0,0,"A","New York",474316
"124","CA","tulare county","05105405300000",67974,2020,829216000,263984000,165616000,109000,1343000,0,271696000,0,22668000,0,27088000,186460000,543028000,0,185866000,1537000,913817000,0,0,0,915354000,50,6,107,0,0,0,"A","California",473891
"125","FL","seminole county","10105905900000",32260,2020,895984671,330869515,114482294,0,0,0,367319193,0,13246566,0,38704009,152191802,88106722,13347423,371142038,12058600,612729385,0,0,0,624787985,50,12,117,0,0,0,"A","Florida",471428
