"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop","npl_person","avg_npl_person"
"24","NH","new hampshire",35545,2020,6048361000,1228878000,1671862000,17018000,2815000,174917000,941421000,0,1793348000,0,106978000,2362105000,3645391000,208728000,2466630000,-162851000,8845705000,130913,5406,5,8682854000,NA,33,1377518,803420,58.323273049061,683,2000
"25","NY","new york",42220,2020,188872000000,2266000000,42103000000,26000000,1832000000,0,4237000000,15000000,66006000000,1000000,1358000000,31613000000,72326000000,1392000000,84658000000,-1154000000,191143000000,0,0,0,189989000000,NA,36,20201230,17665166,87.4459099038876,210,2000
"26","WA","washington",39528,2020,84090857000,26732746000,9561046000,13057000,0,0,3338862000,0,5799742000,0,910960000,18206009000,23308319000,819304000,30275912000,-1631384000,74240928000,0,0,0,72609544000,NA,53,7705247,6424035,83.3718458807667,433,2000
"27","RI","rhode island",38202,2020,9830412000,3138775000,2218816000,170362000,0,10000000,3673476000,0,425747000,7238000,91960000,1910514000,4169776000,288421000,3863435000,-75490000,10307636000,0,0,0,10232146000,NA,44,1097371,999191,91.0524987265111,3348,2000
"28","NV","nevada",35504,2020,10676834000,2994689000,4013010000,11267000,0,0,2290134000,0,810288000,0,118600000,1041680000,9544787000,27732000,6156975000,-384633000,17155807000,0,0,0,16771174000,NA,32,3104624,2921203,94.0923090599991,738,2000
"29","CO","colorado",31946,2020,28766869000,4637188000,6879722000,155467000,0,70956000,11375438000,0,1085487000,0,639545000,9595254000,16162795000,740497000,14676708000,1937417000,39237837000,0,0,0,41175254000,NA,8,5773733,4966936,86.0267065531822,1970,2000
"30","MA","massachusetts",149462,2020,113588290000,41939680000,5526424000,25956000,0,500000000,41643152000,0,17486660000,0,906461000,16462247000,27912554000,223610000,31985064000,-4019299000,80602774000,1833362000,8320121000,0,76583475000,NA,25,7029949,6416895,91.2798116962121,5924,2000
"31","DE","delaware",32212,2020,15909284000,3503151400,1987209000,0,242819500,0,1835017000,4945000,7347246000,0,212001100,1904847000,3403497000,0,5188031000,152998000,10343377000,0,0,0,10496375000,NA,10,989957,817817,82.6121170000849,1854,2000
"32","MS","mississippi",95852,2020,13060607000,4686238000,2672089000,7637000,0,1080809000,3151705000,0,193113000,0,126506000,2592689000,9471374000,600990000,7836263000,454854000,20046462000,0,0,0,20501316000,NA,28,2961288,1370790,46.2904711106248,1064,2000
"33","MI","michigan",80814,2020,35977177000,2088400000,7131778000,421300000,1439600000,3349760000,7540000000,0,9691000000,0,428800000,29249298000,25872521000,1187137000,31965132000,-1738206000,90012294000,4256618000,16561000,0,88274088000,NA,26,10077325,7404258,73.4743951548282,748,2000
"34","CT","connecticut",149448,2020,97821884000,29166415000,3388016000,15132000,0,0,39840819000,0,23023169000,0,728321000,6600462000,10118786000,784244000,18214167000,-1437622000,37155281000,0,0,0,35717659000,NA,9,3605942,3110153,86.2507293513155,11049,2000
"35","DC","district of columbia",47298,2020,17091665000,6800186000,2362726000,74743000,367423000,0,229413000,596347000,0,19048000,494687000,1204996000,5851947000,278833000,9061957000,-156882000,16554615000,0,0,0,16397733000,NA,11,689546,689545,100,333,2000
"36","LA","louisiana",90240,2020,31993734000,8419548000,6912535000,2229000,0,31897000,6614130000,0,5780776000,0,233104000,3188779000,20711584000,625059000,11816143000,483404000,35858161000,0,0,0,36341565000,NA,22,4657749,3332237,71.5416669439818,1420,2000
"37","OK","oklahoma",37320,2020,7276923000,2265388000,4097748000,78000,0,59360000,321161000,38433000,150663000,29752000,177538000,3575443000,9908854000,0,10026298000,716970000,22793625000,0,0,0,23510595000,NA,40,3959346,2558611,64.6219470706451,81,2000
"38","GA","georgia",1265711,2020,42898593000,11199640000,14141466000,3023377000,0,329604000,7896789000,115550000,5624423000,253962000,682156000,8375990000,29451317000,1833731000,26325926000,490511000,65496453000,0,0,0,65986964000,NA,13,10711937,7933986,74.0669729426354,737,2000
"39","WY","wyoming",40122,2020,10270669870,13865082,7145725573,117252,0,0,463995694,0,381732888,0,68787262,753011345,1419909101,9928693,2518825856,-25059285,4726734280,0,0,0,4701674995,NA,56,576837,357750,62.017748083994,804,2000
"40","IL","illinois",399484,2020,263404811000,31531895000,25778585000,9871000,0,1545193000,143346569000,0,58996493000,0,401594000,8186570000,32401974000,1628823000,48964374000,-6687686000,97869427000,0,0,0,91181741000,NA,17,12812545,11137590,86.9274774306482,11188,2000
"41","MD","maryland",149463,2020,65583150000,20700855000,6958216000,770343000,0,0,18912696000,0,17257184000,0,353144000,8764170000,17841944000,1067316000,22956689000,116684000,50513435000,305327000,201206000,0,50630119000,NA,24,6177213,5288760,85.6170992018421,3062,2000
"42","VT","vermont",39343,2020,7263223731,675146062,1806660294,9157330,0,0,2387778363,0,2237128790,0,42012068,970409150,2651316508,184337107,3356200188,-258484737,7420747690,0,0,0,7162262953,NA,50,643085,225850,35.1202111100226,3713,2000
"43","AZ","arizona",40623,2020,24362565000,6207355000,6148699000,254081000,0,217762000,5470494000,0,1281292000,36036000,463129000,6023330000,23392276000,673685000,18109069000,912968000,47285392000,0,0,0,48198360000,NA,4,7151507,6385230,89.2851599566077,765,2000
"44","AL","alabama",31550,2020,13679635000,4941832000,2722165000,91916000,78034000,0,3664524000,0,1698962000,0,330270000,2871100000,13023279000,1045727000,13168595000,1250988000,28857713000,183252000,2934470000,0,30108701000,NA,1,5024356,2900880,57.7372395123758,729,2000
"45","HI","hawaii",71062,2020,28421578000,10028955000,2708675000,139696000,0,600000000,7226416000,0,6977722000,0,262056000,2994083000,3597822000,95720000,7820357000,-951259000,15459241000,0,0,0,14507982000,NA,15,1455273,1252450,86.0630081957244,4966,2000
"46","MT","montana",64951,2020,5140282000,119928000,2176914000,20643000,0,98148000,2254594000,39567000,46410000,0,111510000,1129383000,3001729000,565381000,3516732000,562099000,7651126000,0,0,0,8213225000,NA,30,1084197,579177,53.4185247527035,2080,2000
"47","NM","new mexico",82166,2020,14617951000,4145804000,3134067000,546000,12069000,12506000,5617739000,0,1159319000,0,182688000,5003655000,9670207000,470015000,8414518000,1856427000,21701968000,0,0,0,23558395000,NA,35,2117527,1578552,74.5471357558505,2653,2000
"48","UT","utah",39282,2020,8052895000,4431385000,2472354000,28380000,0,183000,730772000,0,18760000,0,210811000,2215514000,5351354000,180207000,9494647000,1052245000,16189477000,104028000,3272000,0,17241722000,NA,49,3271614,2937303,89.7814107768149,223,2000
"49","IN","indiana",196751,2020,19776175000,0,6709986000,832347000,0,0,11792876000,0,190159000,0,194149000,3785661000,19009873000,1249899000,18491040000,919477000,41616996000,0,0,0,42536473000,NA,18,6785668,4829686,71.1762739760266,1738,2000
