"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"1","PA","north coventry township","39301502900000",66476,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4254936","township of north coventry",61,"42","029",NA,"54936",0,"A","north coventry township","Pennsylvania",8442
"2","MI","buchanan township","23301100600000",154804,2020,90461,0,90461,0,0,0,0,0,0,0,0,87585,1858,0,731920,152562,668801,0,0,0,821363,"2611420","township of buchanan",61,"26","021",NA,"11420",0,"A","buchanan township","Michigan",3434
"3","MI","geneva township","23308000900000",154983,2020,4491,0,4491,0,0,0,0,0,0,0,0,142819,0,0,180893,37313,286399,0,0,0,323712,"2631840","township of geneva",61,"26","159",NA,"31840",0,"A","geneva township","Michigan",3417
"4","MI","waverly township (van buren county)","23308001800000",81103,2020,10386,0,10386,0,0,0,0,0,0,0,0,129554,11662,0,484126,151076,474266,0,0,0,625342,"2684820","township of waverly",61,"26","159",NA,"84820",0,"A","waverly township","Michigan",2506
"5","MI","thornapple township","23300801400000",80919,2020,343855,215000,68507,0,0,0,0,0,0,0,0,653241,5890,0,1393207,145573,1906765,288945,140116,0,2052338,"2679620","township of thornapple",61,"26","015",NA,"79620",0,"A","thornapple township","Michigan",9325
"6","MI","twining","23200600600000",1240045,2020,209322,207000,2322,0,0,0,0,0,0,0,0,43509,42715,39300,72874,63202,135196,0,0,0,198398,"2681020","village of twining",162,"26","000","81020","00000",0,"A","twining village","Michigan",141
"7","MI","shelby","23206400500000",1240031,2020,2973597,2817000,136546,0,0,0,0,0,0,0,20051,672544,356171,24300,778913,76830,1755098,0,0,0,1831928,"2672840","village of shelby",162,"26","000","72840","00000",0,"A","shelby village","Michigan",2160
"8","MI","hillman","23206000100000",1091471,2020,438347,415000,23347,0,0,0,0,0,0,0,0,322353,151386,0,270877,-56190,800806,0,0,0,744616,"2638380","village of hillman",162,"26","000","38380","00000",0,"A","hillman village","Michigan",619
"9","MI","west branch township","23306501400000",81145,2020,1651,0,1651,0,0,0,0,0,0,0,0,3367,2076,0,107134,20471,92106,0,0,0,112577,"2685600","township of west branch",61,"26","129",NA,"85600",0,"A","west branch township","Michigan",2574
"10","MI","bellaire","23200500100000",1239922,2020,694145,564000,16185,0,99526,0,0,0,0,0,14434,748596,171420,0,694714,189176,1425554,0,0,0,1614730,"2606980","village of bellaire",162,"26","000","06980","00000",0,"A","bellaire village","Michigan",1003
"11","MI","eden township","23305300400000",154916,2020,8929,0,8929,0,0,0,0,0,0,0,0,3226,11945,0,167249,-1347,183767,0,0,0,182420,"2624820","township of eden",61,"26","105",NA,"24820",0,"A","eden township","Michigan",591
"12","MI","vernon","23207801000000",1240048,2020,2350914,2310000,40914,0,0,0,0,0,0,0,0,327318,117805,592937,281369,743241,576188,0,0,0,1319429,"2682020","village of vernon",162,"26","000","82020","00000",0,"A","vernon village","Michigan",734
"13","MI","lake township","23307200600000",155117,2020,12232,0,12232,0,0,0,0,0,0,0,0,43100,7536,0,423329,20898,453067,0,0,0,473965,"2644400","township of lake",61,"26","143",NA,"44400",0,"A","lake township","Michigan",1124
"14","MI","laurium","23203100600000",1238545,2020,2824428,1399000,93608,0,0,145000,1147600,0,0,0,39220,397827,433414,0,834648,32428,1633461,0,0,0,1665889,"2646360","village of laurium",162,"26","000","46360","00000",0,"A","laurium village","Michigan",1876
"15","MI","laketon township","23306100900000",79376,2020,4619238,3440000,167580,0,0,0,0,0,1011658,0,0,1283224,134272,11700,1630841,-80502,3140539,0,0,0,3060037,"2645160","township of laketon",61,"26","121",NA,"45160",0,"A","laketon township","Michigan",7627
"16","MI","kinde","23205800200000",1239953,2020,7805,0,3680,0,0,0,0,22135,0,0,4125,91973,79160,0,279519,136749,313903,0,0,0,450652,"2623380","village of dundee",162,"26","000","23380","00000",0,"A","dundee village","Michigan",5363
