"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop"
"37","MO","missouri",148599,2022,20075010000,2114352000,5126640000,0,0,0,6458736000,0,3177080000,0,198906000,3657551000,16617091000,872728000,17380443000,4994099000,33533714000,1809209,262,0,38527813000,NA,"29",6154920,4275663,69.4674806938782
"38","OR","oregon",37525,2022,23903290000,12224796000,3434804000,0,0,255192000,2894714000,0,92753000,125004000,343425000,6839071000,21287965000,22839000,18999124000,5104591000,42044408000,51469000,4418000,0,47148999000,NA,"41",4237291,3410984,80.4998329107328
"39","MD","maryland",149463,2022,60368151000,16791067000,8761664000,0,0,0,13366859000,0,13434828000,0,413728000,11841074000,23516992000,1042974000,29954121000,10564809000,55790349000,246088000,69569000,0,66355161000,NA,"24",6177213,5288760,85.6170992018421
"40","MS","mississippi",95852,2022,13476906000,5083768000,3301950000,0,0,658825000,2601904000,0,143450000,0,131316000,3034109000,9761534000,593483000,9233996000,2438777000,20184345000,0,0,0,22623122000,NA,"28",2961288,1370790,46.2904711106248
"41","IA","iowa",1036991,2022,9689205000,3214006000,59175000,0,40878000,0,287823000,128969000,453731000,0,591363000,8217106000,10554449000,636929000,11621475000,3595082000,27434877000,5511843000,1030834000,40067000,31029959000,NA,"19",3190372,2014831,63.1535411734505
"42","AL","alabama",31550,2022,15782655000,6328378000,4026823000,0,0,0,3563587000,0,847193000,0,337147000,3247913000,13967565000,1010914000,16031626000,3242708000,31015310000,245070000,80606000,0,34258018000,NA,"01",5024356,2900880,57.7372395123758
"43","DC","district of columbia",47298,2022,20257809000,0,0,0,0,0,298308000,0,173193000,0,0,1332752000,6967124000,209696000,351792000,65912000,18212259000,0,0,0,18278171000,"city of washington dc","11",689546,689545,100
"44","NM","new mexico",82166,2022,16422831000,3659116000,4767930000,0,9432000,8235000,5026620000,31593000,1179892000,0,205063000,8144870000,12551614000,497163000,10359502000,5816581000,25736568000,0,0,0,31553149000,NA,"35",2117527,1578552,74.5471357558505
"45","IL","illinois",399484,2022,247942779000,30696448000,26518751000,0,0,1873665000,139846404000,0,46611408000,0,1000112000,9395875000,40664651000,1675637000,70309459000,17153999000,104891623000,0,0,0,122045622000,NA,"17",12812545,11137590,86.9274774306482
"46","HI","hawaii",71062,2022,28246474000,12472443000,2752439000,0,0,0,6323283000,0,5415988000,0,292276000,1924821000,7509482000,45611000,9211097000,2386373000,16304638000,0,0,0,18691011000,NA,"15",1455273,1252450,86.0630081957244
"47","MT","montana",64951,2022,4907686000,224961000,2078098000,0,0,6963000,1926586000,59202000,120548000,0,0,1277445000,3726929000,480057000,4211336000,1675912000,8019855000,0,0,0,9695767000,NA,"30",1084197,579177,53.4185247527035
