"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"5747","NC","smithfield","34205100900000",64998,2020,31081068,2415866,3184648,0,0,0,4136014,0,8366896,0,656793,26604882,673629,821517,11582013,4630167,35051874,0,0,0,39682041,"1600000US3762520",11292,"Smithfield town"
"5748","MD","bowie","21201700300000",116526,2020,58243658,32835638,5027989,0,1330477,0,14359931,0,2761628,0,1927995,10231637,1489971,1777151,49995641,-650819,64145219,7658656,453141,0,63494400,"1600000US2408775",58329,"Bowie city"
"5749","NC","southern pines","34206300600000",123327,2020,15740902,0,2440415,0,0,0,5186053,0,0,0,700978,10974470,818736,2571521,17218503,3400946,28182284,0,0,0,31583230,"1600000US3763120",15545,"Southern Pines town"
"5750","NC","garner","34209200400000",123461,2020,71120725,38169319,2477713,0,0,4798222,7997487,0,16278226,0,1399758,2844386,992323,439688,32229823,-598996,37105216,0,0,0,36506220,"1600000US3725480",31159,"Garner town"
"5751","NC","kernersville","34203400100000",123229,2020,50182490,2093487,1444027,0,2000000,20769269,8596094,0,13652244,0,1627364,4142742,1957603,613129,32050373,1329130,37434717,1162898,452118,0,38763847,"1600000US3735600",26449,"Kernersville town"
"5752","NJ","north plainfield","31201800600000",121716,2020,47880155,24680000,0,0,0,0,39131847,0,20944795,0,0,0,0,0,69134909,1633527,67501383,0,0,0,69134910,"1600000US3453280",22808,"North Plainfield borough"
"5753","NY","freeport","33203001400000",82253,2020,394712523,84970304,11856843,0,0,11516000,23483736,0,224887329,0,27286922,63098876,285917,1501656,59364870,-7454069,131705388,0,0,0,124251319,"1600000US3627485",44472,"Freeport village"
"5754","NM","los lunas","32203200300000",122008,2020,71435964,8765000,7367746,113993,26005972,0,21751236,0,6369096,0,600424,15576875,2300677,838564,31166905,14331005,35552016,0,0,0,49883021,"1600000US3543370",17242,"Los Lunas village"
"5755","NY","lackawanna","33201501100000",122109,2020,103766156,4515000,1499607,0,275000,0,15342594,0,74266665,0,4396876,2168076,756645,179711,26679637,-7363340,37147409,0,0,0,29784069,"1600000US3640189",19949,"Lackawanna city"
"5756","NY","lynbrook","33203003200000",122226,2020,109225035,18218308,3853094,0,0,91000,18622230,0,50310272,0,4210821,3776603,519644,418091,36229082,-3062166,44005586,0,0,0,40943420,"1600000US3643874",20438,"Lynbrook village"
