"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"4847","MN","mayer","24201000600000",116951,2021,9066020,8274398,617687,0,0,0,153736,128245,0,0,20199,1467461,206887,731374,1610409,1360145,2655986,0,0,0,4016131,"2741138","city of mayer",162,"27","000","41138","00000",0,"A","mayer city","Minnesota",2452
"4848","KY","morehead","18210300100000",33605,2021,54998085,7031450,2985544,7631291,0,15677380,16442759,0,5133490,0,96171,13987341,1274789,224076,9480119,789945,24176380,0,0,0,24966325,"2153418","city of morehead",162,"21","000","53418","00000",0,"A","morehead city","Kentucky",7145
"4849","ME","waterville","20200600400000",196838,2021,35094482,23077242,3814313,262148,0,0,2699961,0,4700126,0,540692,3049662,26959300,4695652,27247377,4236313,57715678,0,0,0,61951991,"2380740","city of waterville",162,"23","000","80740","00000",0,"A","waterville city","Maine",15826
"4850","KS","beloit","17206200100000",96843,2021,0,7520000,0,326864,434835,0,1801782,0,0,0,0,0,0,0,15874531,-289748,16164279,0,0,0,15874531,"2005775","city of beloit",162,"20","000","05775","00000",0,"A","beloit city","Kansas",3402
"4851","MN","morris","24207500500000",34763,2021,15393761,11072000,437819,82250,0,1870545,1344621,237431,258400,0,328126,5284377,1328051,567142,5183754,1821057,10542267,0,0,0,12363324,"2744242","city of morris",162,"27","000","44242","00000",0,"A","morris city","Minnesota",5104
"4852","MN","clearwater","24208600400000",117561,2021,0,2860000,0,0,0,3497634,0,0,0,0,32080,232476,580478,0,1832713,21554,2624113,0,0,0,2645667,"2711800","city of clearwater",162,"27","000","11800","00000",0,"A","clearwater city","Minnesota",1922
"4853","CA","san fernando","05201903800000",31793,2021,109850470,0,3669969,0,1313554,0,45646515,0,50098837,0,1673521,12066402,3927950,5194218,23804514,7030191,37962893,0,0,0,44993084,"0666140","city of san fernando",162,"06","000","66140","00000",0,"A","san fernando city","California",23966
"4854","CA","indio","05203300900000",31833,2021,265581008,98699870,32538203,249390,0,0,71716495,0,58356740,0,2718711,42830802,13592223,3181631,72950749,6452782,126102623,0,0,0,132555405,"0636448","city of indio",162,"06","000","36448","00000",0,"A","indio city","California",89126
"4855","MO","belton","26201900200000",35125,2021,121850521,51493387,5252178,1388094,0,18363434,2269039,91256,935515,0,1415013,26012549,2978709,2726686,31524806,16488479,46754271,0,0,0,63242750,"2904384","city of belton",162,"29","000","04384","00000",0,"A","belton city","Missouri",23978
"4856","IL","hamilton","14203400900000",72286,2021,1005215,0,35186,0,970029,0,0,0,0,0,0,997715,139017,52960,1819336,677833,2331195,0,0,0,3009028,"1732434","city of hamilton",162,"17","000","32434","00000",0,"A","hamilton city","Illinois",2756
