"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"1","AL","foley","01200200500000",31558,2022,76548461,55838864,5015060,0,0,21717,7845385,0,5647961,0,1128034,21531157,2256020,10131575,51624920,30772644,54771028,0,0,0,85543672,"0126992","city of foley",162,"01","000","26992","00000",0,"A","foley city","Alabama",20336
"2","AZ","san luis","03201460100000",64754,2022,74325366,51416364,10735737,0,0,524803,9756785,4582640,0,0,1019878,15756830,3837548,2406770,24529256,5257434,41272970,0,0,1386860,46530404,"0463470","city of san luis",162,"04","000","63470","00000",0,"A","san luis city","Arizona",35284
"3","AZ","el mirage","03200700400000",64748,2022,58607600,20008806,5148624,0,15743239,0,16533030,0,0,531033,1173901,22957080,3759331,471130,31716327,11911978,46991890,10375917,0,854351,58903868,"0422220","city of el mirage",162,"04","000","22220","00000",0,"A","el mirage city","Arizona",35798
"4","AZ","maricopa","03201110100000",65753,2022,64639379,33061523,11425113,0,2963814,0,15024002,504288,0,0,1766546,12968660,4859852,22046282,71616923,43798505,67693212,0,0,0,111491717,"0444410","city of maricopa",162,"04","000","44410","00000",0,"A","maricopa city","Arizona",58143
"5","AZ","kingman","03200800100000",43416,2022,111581628,37615000,8821215,0,20868048,0,37101630,0,3506000,1079008,2040451,30152706,10488700,822761,43033618,27116517,57381268,9148901,0,0,84497785,"0437620","city of kingman",162,"04","000","37620","00000",0,"A","kingman city","Arizona",32690
"6","AZ","tempe","03200701200000",31638,2022,1757622370,673749365,171787886,0,7931352,0,410652733,0,108237434,4747812,32633155,174314891,26374825,19658668,344349506,61708841,502989049,92113622,0,0,564697890,"0473000","city of tempe",162,"04","000","73000","00000",0,"A","tempe city","Arizona",180576
"7","AZ","chandler","03200700300000",31633,2022,937633085,524676261,82806731,0,0,0,212540490,0,81921795,0,14436678,203405767,26462503,31565571,315337214,58046307,518724748,55393260,0,4451743,576771055,"0412000","city of chandler",162,"04","000","12000","00000",0,"A","chandler city","Arizona",276010
"8","AZ","mesa","03200700800000",31634,2022,4226428000,1926166000,409619000,0,0,1135000,840814000,0,987614000,0,39149000,564475000,106310000,75257000,579490000,85004000,1240528000,0,0,0,1325532000,"0446000","city of mesa",162,"04","000","46000","00000",0,"A","mesa city","Arizona",504300
"9","AZ","page","03200390100000",31630,2022,15231553,0,6139441,0,0,485039,7048058,0,11190,2468778,1457812,20613952,6671846,440459,16242764,6123442,37845579,3553877,0,0,43969021,"0451810","city of page",162,"04","000","51810","00000",0,"A","page city","Arizona",7438
"10","AZ","safford","03200500200000",66969,2022,59883513,18705954,5184207,0,7384114,0,20259117,0,0,0,704224,24690532,5314721,1184153,14321409,10302073,35208742,2041978,0,0,45510815,"0462000","city of safford",162,"04","000","62000","00000",0,"A","safford city","Arizona",10126
"11","AZ","prescott","03201300200000",31646,2022,158774117,20167409,18240425,0,76879525,0,36081564,0,235138,1366985,4820859,59352877,8760596,16524812,81832292,49931291,116539286,19614240,0,2440235,166470577,"0457380","city of prescott",162,"04","000","57380","00000",0,"A","prescott city","Arizona",45907
"12","AZ","scottsdale","03200701100000",31637,2022,1533417000,887064000,214160000,0,0,0,309646000,0,831000,0,37800000,287754000,53960000,126749000,490391000,277485000,681369000,174463000,0,28203000,958854000,"0465000","city of scottsdale",162,"04","000","65000","00000",0,"A","scottsdale city","Arizona",241339
"13","AZ","buckeye","03200700200000",48770,2022,416623477,331409398,39288418,0,0,0,39224805,0,0,0,3285945,88047794,18381781,32158738,117769823,49049838,207308298,14673834,0,645785,256358136,"0407940","town of buckeye",162,"04","000","07940","00000",0,"A","buckeye city","Arizona",91535
"14","AZ","holbrook","03200900100000",110890,2022,9060630,0,394461,0,0,0,8421243,0,3003,277803,241923,2435178,2113747,254917,6054642,2496249,8362235,598440,0,0,10858484,"0433280","city of holbrook",162,"04","000","33280","00000",0,"A","holbrook city","Arizona",4845
"15","AZ","tolleson","03200701300000",110882,2022,53183429,22739475,7696304,0,4598706,0,15014764,0,0,0,3084146,20814862,1415906,1175627,54162686,33448780,44120301,0,0,0,77569081,"0474190","city of tolleson",162,"04","000","74190","00000",0,"A","tolleson city","Arizona",7217
"16","AZ","yuma","03201400300000",31650,2022,559916724,393406597,30719926,0,0,0,121963643,0,57327,3990769,9050330,72675299,3884295,21612859,118872327,38529823,178514957,27587546,0,4525786,217044780,"0485540","city of yuma",162,"04","000","85540","00000",0,"A","yuma city","Arizona",96147
"17","AZ","goodyear","03200700700000",66950,2022,609036468,469617603,64437215,0,0,20104238,43170898,0,58752,2073334,9394493,96946458,20334900,53446878,183000022,119248615,234479643,53394756,0,11254372,353728258,"0428380","city of goodyear",162,"04","000","28380","00000",0,"A","goodyear city","Arizona",95288
"18","AZ","show low","03200900200000",64750,2022,24606255,1065000,4182796,0,9650254,1037906,7657619,0,0,451739,971603,16289313,8324704,1915150,23742423,15731447,34540145,0,0,0,50271592,"0466470","city of show low",162,"04","000","66470","00000",0,"A","show low city","Arizona",11730
"19","AZ","eloy","03201100300000",43495,2022,36750342,10809468,1652260,0,8067259,0,10375858,0,0,0,942202,9603104,6963214,1767148,16194217,3609930,30917753,0,0,0,34527683,"0422360","city of eloy",162,"04","000","22360","00000",0,"A","eloy city","Arizona",15628
"20","AZ","lake havasu","03200860100000",110889,2022,343739075,164510290,23630598,0,49596560,0,87512382,0,13260977,1631229,3799027,50676537,8645102,11394112,69949999,25736216,114929534,0,0,0,140665750,"0439370","city of lake havasu city",162,"04","000","39370","00000",0,"A","lake havasu city city","Arizona",57134
"21","AZ","queen creek","03200740500000",66967,2022,607490551,360065318,33132709,0,181933533,0,22211105,3392893,0,0,3022579,89088286,4217193,44690364,102842814,111873525,128965132,29628513,0,4823453,240838657,"0458150","town of queen creek",162,"04","000","58150","00000",0,"A","queen creek town","Arizona",59516
"22","AZ","prescott valley","03201360100000",31648,2022,78532133,50215893,5264471,0,3450961,0,7204201,0,0,194642,1546379,22098425,1189641,14500364,66224172,28491053,75521549,5833415,0,514294,104012602,"0457450","town of prescott valley",162,"04","000","57450","00000",0,"A","prescott valley town","Arizona",46761
"23","AZ","oro valley","03201090100000",66962,2022,127620530,70940215,13640071,0,2404213,0,37268878,0,0,0,2794847,33102267,4040118,10105789,44545026,15282817,76510383,18333445,0,428133,91793200,"0451600","town of oro valley",162,"04","000","51600","00000",0,"A","oro valley town","Arizona",47071
"24","AZ","fountain hills","03200740400000",66947,2022,3171821,0,2539040,0,0,0,0,0,0,0,632781,2830516,6381580,161751,25651750,6356226,28669371,0,0,0,35025597,"0425300","town of fountain hills",162,"04","000","25300","00000",0,"A","fountain hills town","Arizona",23819
"25","AZ","florence","03201100400000",64752,2022,40703508,23353940,6767832,0,0,1856410,7615250,1163864,0,0,616600,12296711,4990065,6626482,20513833,13425050,31002041,4328234,0,0,44427091,"0423760","town of florence",162,"04","000","23760","00000",0,"A","florence town","Arizona",26761
"26","AZ","chino valley","03201380100000",66943,2022,36849404,15607507,5505824,0,8538174,0,6609666,0,0,0,588233,3511617,5696551,1254734,15655649,8711632,17406919,829529,0,0,26118551,"0412840","town of chino valley",162,"04","000","12840","00000",0,"A","chino valley town","Arizona",13018
"27","AZ","marana","03201090200000",64751,2022,162234391,96373092,11921782,0,16729660,0,34529027,0,0,0,1509557,28172226,14710958,37922631,72125340,50590453,102340702,8138543,0,3908153,152931155,"0444270","town of marana",162,"04","000","44270","00000",0,"A","marana town","Arizona",51897
"28","AZ","gilbert","03200700500000",96335,2022,1222205765,1033052732,88588142,0,0,0,76388740,592705,1069922,0,23106229,133374177,42915661,90499231,232420004,103594741,395614332,55545333,0,20632142,499209073,"0427400","town of gilbert",162,"04","000","27400","00000",0,"A","gilbert town","Arizona",267932
"29","AZ","paradise valley","03200750100000",66964,2022,22485733,9070000,5633015,0,0,0,6423929,87775,10010,280920,1348779,13174637,3817930,2332900,35302414,22263558,32364323,0,0,0,54627881,"0452930","town of paradise valley",162,"04","000","52930","00000",0,"A","paradise valley town","Arizona",12663
"30","AZ","snowflake","03200900300000",223749,2022,10438284,3668000,1743206,0,0,368216,4421516,173474,0,0,237346,5202146,3297235,710736,5748286,6249071,8709332,0,0,0,14958403,"0467800","town of snowflake",162,"04","000","67800","00000",0,"A","snowflake town","Arizona",6103
"31","CA","norco","05203370200000",67632,2022,79105919,41528115,12527968,0,5587602,0,13969054,0,3331830,0,814964,32011083,3124093,8228434,31839306,21223463,53979453,13746965,0,1931129,75202916,"0651560","city of norco",162,"06","000","51560","00000",0,"A","norco city","California",26299
"32","CA","cudahy","05201951900000",96338,2022,7159221,0,2405709,0,0,0,2544002,0,1848791,0,157763,2951721,12253018,0,5618757,6630840,14192656,0,0,0,20823496,"0617498","city of cudahy",162,"06","000","17498","00000",0,"A","cudahy city","California",22808
"33","CA","dublin","05200160100000",67246,2022,63121927,20454565,32237059,0,0,0,8804512,0,0,9048738,1308042,27660672,7273101,16457860,88728898,33395651,106724880,4974609,0,0,140120531,"0620018","city of dublin",162,"06","000","20018","00000",0,"A","dublin city","California",72588
"34","CA","east palo alto","05204160100000",31872,2022,21589846,0,7575054,0,0,630001,6526289,0,0,0,913042,7770551,5797564,7074206,27884199,15612434,32914086,2905566,0,0,48526520,"0620956","city of east palo alto",162,"06","000","20956","00000",0,"A","east palo alto city","California",30040
"35","CA","lakeport","05201700100000",54960,2022,42320807,29472384,1296123,0,2030000,0,4293235,0,4682052,0,547013,5698503,1457958,1505881,8515959,2794252,14384049,2457485,0,0,17178301,"0639710","city of lakeport",162,"06","000","39710","00000",0,"A","lakeport city","California",5029
"36","CA","millbrae","05204100800000",67573,2022,121071693,63619453,11634418,0,0,0,35792327,0,7122677,0,1245087,31639357,4256419,7935323,29203334,8884602,64149830,10387187,0,0,73034433,"0647486","city of millbrae",162,"06","000","47486","00000",0,"A","millbrae city","California",23213
"37","CA","twentynine palms","05203640100000",67982,2022,3333757,0,1478844,0,1224900,0,183382,0,153371,0,285488,1670247,5474903,7843317,11099065,13493741,12593791,0,0,0,26087532,"0680994","city of twentynine palms",162,"06","000","80994","00000",0,"A","twentynine palms city","California",28067
"38","CA","redding","05204500100000",31881,2022,577926713,199424995,52409292,0,1128439,0,218903868,0,54940168,0,22809410,270008805,37595448,23929672,63348244,34056988,360825181,159786038,0,2139110,394882169,"0659920","city of redding",162,"06","000","59920","00000",0,"A","redding city","California",93609
"39","CA","reedley","05201001200000",49491,2022,45427470,27527731,1905413,0,0,0,9003057,0,6357572,0,633697,13768705,7689847,2696570,13228552,6279904,31103770,4120557,0,0,37383674,"0660242","city of reedley",162,"06","000","60242","00000",0,"A","reedley city","California",25230
"40","CA","irvine","05203090100000",31829,2022,202113000,0,117706000,0,0,0,36051000,0,8475000,0,18488000,106573000,85415000,16785000,186708000,2047000,393434000,0,0,0,395481000,"0636770","city of irvine",162,"06","000","36770","00000",0,"A","irvine city","California",307665
