"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","urban_pop","pct_urban_pop"
"15","MT","montana",64951,2021,5563416000,164409000,1766702000,16064000,0,97528000,2959075000,36545000,143844000,0,117654000,1213061000,4509784000,532549000,3894458000,867750000,9282102000,0,0,0,10149852000,NA,"30",1084197,579177,53.4185247527035
"16","NE","nebraska",35432,2021,3885879000,0,2770566000,37825000,0,0,464824000,196308000,22304000,0,140201000,1066721000,5065004000,5663000,8142739000,2028346000,12251781000,0,0,0,14280127000,NA,"31",1961489,1432003,73.005357113725
"17","TX","texas",38611,2021,273949398000,59870422000,44435834000,306148000,6970309000,4524991000,76785107000,0,73972610000,0,2118895000,41942238000,142808318000,202046000,69195021000,39382962000,214764661000,0,0,0,254147623000,NA,"48",29145428,24400697,83.7202752191118
"18","CO","colorado",31946,2021,35468430000,4938279000,11422957000,192222000,0,118641000,9244732000,0,1260020000,0,695124000,9666591000,24590640000,727760000,16063144000,4792708000,46255427000,0,0,0,51048135000,NA,"08",5773733,4966936,86.0267065531822
"19","NY","new york",42220,2021,231882000000,2274000000,47733000000,28000000,2245000000,81329000000,13861000000,23000000,77861000000,3000000,1592000000,41005000000,86532000000,59953000000,100546000000,-4913000000,292949000000,0,0,0,288036000000,NA,"36",20201230,17665166,87.4459099038876
"20","KS","kansas",33447,2021,10466817000,4044351000,2953827000,228604000,0,5184000,2261074000,0,51241000,0,120267000,2056502000,6387896000,113157000,13363670000,1421549000,20499676000,0,0,0,21921225000,NA,"20",2937847,2124059,72.2990387626452
"21","OR","oregon",37525,2021,23586456000,12037802000,3522720000,5019000,66835000,295820000,5019150000,0,120715000,17677000,336775000,5857696000,20996479000,30774000,17814867000,2797286000,41902530000,0,0,0,44699816000,NA,"41",4237291,3410984,80.4998329107328
"22","IA","iowa",1036991,2021,9323755000,3044848000,26687000,43021000,0,0,1077174000,0,468779000,0,587113000,7215863000,11054444000,553462000,11335484000,2354506000,27804747000,4771731000,2041648000,33205000,30159253000,NA,"19",3190372,2014831,63.1535411734505
"23","MO","missouri",148599,2021,18579166000,2310803000,2539102000,38491000,0,0,7482744000,0,3275006000,0,196555000,4147456000,19052759000,1568379000,13867357000,3414100000,35221851000,1828313,214,0,38635951000,NA,"29",6154920,4275663,69.4674806938782
"24","NH","new hampshire",35545,2021,6596112000,1153302000,1484817000,16900000,2704000,196238000,1231186000,0,2197650000,0,104004000,2741173000,4460241000,209232000,3011398000,728170000,9693874000,122136,4310,27,10422044000,NA,"33",1377518,803420,58.323273049061
