"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population"
"24","NY","suffolk county",36008,2020,12322349989,1674099719,614044114,0,0,717506197,1104493609,0,6901030000,0,511243404,370958588,836537895,62736643,2319472582,10691055,3579014653,0,0,0,3589705708,"36103",NA,50,"36","103",NA,"00000",0,"A","New York",1525936
"25","FL","palm beach county",1266402,2020,4197746860,863515389,398776095,223293,0,83415643,1867489307,0,447740399,0,210094621,686026585,251373232,55878784,1738472686,-37116294,2768867581,0,0,0,2731751287,"12099",NA,50,"12","099",NA,"00000",0,"A","Florida",1492198
"26","FL","hillsborough county",32237,2020,3229923000,1094461000,478744000,0,0,128963000,1266841000,0,116670000,0,60996000,661108000,180756000,107509000,1594531000,219427000,2324477000,283150000,20691000,47093000,2543904000,"12057",NA,50,"12","057",NA,"00000",0,"A","Florida",1459773
"27","FL","orange county",32251,2020,3034626323,1100980207,272763331,2068986,95610751,4275000,1287393180,0,42748723,171947,96177525,558927874,432065880,242654932,1496611587,185147739,2545112534,0,0,0,2730260273,"12095",NA,50,"12","095",NA,"00000",0,"A","Florida",1429901
"28","NY","nassau county",43010,2020,14455591000,3634275000,831739000,76143000,0,166425000,918259000,0,6311284000,0,465132000,346130000,554990000,175968000,2354108000,-373209000,3804405000,0,0,0,3431196000,"36059",NA,50,"36","059",NA,"00000",0,"A","New York",1395777
"29","OH","franklin county",196354,2020,1539152000,486677000,119288000,17328000,28307000,4727000,485833000,0,330467000,1265000,64635000,141542000,410845000,18474000,836565000,49388000,1358038000,9253000,8000,4007000,1407426000,"39049",NA,50,"39","049",NA,"00000",0,"A","Ohio",1323800
"30","TX","travis county",38645,2020,2724331272,1185905970,145211872,32779157,0,0,172394620,0,1125420726,0,42497620,107042374,57490490,26159427,799870344,52793904,937768731,0,0,0,990562635,"48453",NA,50,"48","453",NA,"00000",0,"A","Texas",1290209
"31","MN","hennepin county",1266941,2020,3494379106,1857740095,473163198,0,0,2790460,839268166,0,145819803,0,154141727,1415149958,745244593,56341420,1149648018,-107539260,3473923249,1351533319,157249007,29870414,3366383989,"27053",NA,50,"27","053",NA,"00000",0,"A","Minnesota",1281568
"32","MI","oakland county",34282,2020,741376009,358527575,321853855,0,0,0,22497565,0,0,384338239,16548221,454414326,185196498,14649704,316477090,146233143,824504475,6365194,14688864,2923,970737618,"26125",NA,50,"26","125",NA,"00000",0,"A","Michigan",1274395
"33","OH","cuyahoga county",36874,2020,2415923380,775336653,133324213,279007698,14215024,0,574879699,0,392822866,391753,35404475,187719513,516760266,39692554,778207677,30411341,1491968669,0,0,0,1522380010,"39035",NA,50,"39","035",NA,"00000",0,"A","Ohio",1264813
