"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","population","geoID"
"28","WA","washington",NA,39528,2021,86950922000,27731386000,10068030000,4995000,0,0,2509635000,2467388000,6051091000,0,967603000,19952732000,34458593000,648888000,33609591000,3655115000,85014689000,0,0,0,88669804000,7724031,""
"29","UT","utah",NA,39282,2021,7729825000,3911629000,2806348000,25624000,0,134000,411417000,0,608000,0,217280000,2585041000,7776975000,154058000,11253186000,3664833000,18104427000,67872000,858000,0,21769260000,3283785,""
"30","WI","wisconsin",NA,39818,2021,28571435000,12824044000,10165101000,28052000,12824044000,217939000,0,1756036000,1327648000,249006000,2716624000,9448722000,18495066000,1020529000,20844549000,3208622000,46600244000,0,0,0,49808866000,5896271,""
"31","DC","district of columbia","09200100100000",47298,2021,18144143000,12656287000,4111604000,70380000,407223000,163665000,0,2056646000,0,313355000,324082000,1184058000,7137868000,309217000,9738925000,825861000,17544207000,0,0,0,18370068000,670868,""
"32","NV","nevada",NA,35504,2021,13758375000,2992919000,6954942000,7542000,0,0,2354763000,0,882306000,0,128833000,1101663000,12874090000,7317000,6141433000,192747000,19931756000,0,0,0,20124503000,3115648,""
"33","MI","michigan",NA,80814,2021,38108406000,7505300000,11540044000,400500000,0,80700000,7651000000,0,7778200000,0,459700000,22549697000,29879020000,981719000,37877299000,6724358000,84563377000,5057975000,360000,0,91287735000,10069577,""
"34","MA","massachusetts",NA,149462,2021,131059556000,45393477000,14272168000,22984000,0,0,47141778000,0,19694477000,0,984935000,16895110000,41157556000,252110000,36018716000,-858033000,95181525000,1608603000,17208485000,0,94323492000,6995729,""
"35","AL","alabama",NA,31550,2021,15007563000,6067908000,3279338000,103982000,68502000,0,3976285000,0,987056000,0,334749000,3250354000,13610806000,1064082000,15650728000,3500769000,30075201000,249846000,1530160000,0,33575970000,5031362,""
"36","AK","alaska",NA,31574,2021,16726973000,1374829000,8741798000,211165000,0,3859000,5089994000,20031000,3405000,548581000,203580000,1789873000,4904678000,831826000,20941062000,16150304000,12317135000,121978000,614000,58343000,28467439000,732923,""
"37","CT","connecticut",NA,149448,2021,106761347000,29770530000,5205641000,16511000,0,0,42551460000,0,26040226000,0,791037000,6035058000,16776285000,998284000,21562279000,-1644473000,47016379000,0,0,0,45371906000,3597362,""
"38","NJ","new jersey",NA,40624,2021,262003072072,26668000000,13172773909,417000000,1279000000,0,95235061386,614336,101605641478,0,615000000,12105245287,41729823608,190989312,43271051015,3758293186,93538816036,0,0,0,97297109222,9271689,""
"39","DE","delaware",NA,32212,2021,19185075000,3894611000,2491186000,0,243447000,18769000,1726785000,0,9564690000,0,242235000,2374123000,4833933000,336418000,6012714000,253418000,13303770000,0,0,0,13557188000,992114,""
"40","HI","hawaii",NA,71062,2021,32322093000,12160159000,3997605000,319468000,717096000,200000000,7814788000,0,6516876000,0,293786000,1594865000,8236938000,83411000,7818383000,-1626184000,19359781000,0,0,0,17733597000,1451043,""
"41","MD","maryland",NA,149463,2021,70729931000,21512555000,11279016000,537356000,0,0,20663518000,0,15681628000,0,412144000,11140230000,26436860000,902584000,24801845000,2224808000,61056711000,231755000,192003000,0,63281519000,6173205,""
"42","VT","vermont",NA,39343,2021,7550556312,711491377,985651963,8861948,0,0,3043700350,0,2660856831,0,44879014,839580196,4090945732,200229503,3932704623,263903362,8799556692,0,0,0,9063460054,642893,""
"43","WY","wyoming",NA,40122,2021,9272163993,11047303,6035179638,353388,0,0,432262923,970439,527492619,0,64129637,844961319,2557687418,8000959,4934468839,2630323172,5714795363,0,0,0,8345118535,577605,""
"44","AZ","arizona",NA,40623,2021,27669843000,6345131000,6938052000,230580000,251790000,184460000,6262883000,0,1585805000,37328000,506854000,6616822000,34277931000,731886000,21367940000,6683700000,56310879000,0,0,0,62994579000,7179943,""
"45","MS","mississippi",NA,95852,2021,13476966000,4743624000,2583039000,6406000,0,1084932000,3482249000,0,176455000,0,0,2763455000,11808010000,609953000,8712382000,2054600000,21839200000,0,0,0,23893800000,2958141,""
"46","WV","west virginia",NA,39745,2021,13009788000,3596081000,516932000,218395000,0,0,3450088000,99169000,285156000,0,98971000,1516535000,7347681000,508221000,8564756000,1969482000,15967711000,0,0,0,17937193000,1791420,""
"47","NM","new mexico",NA,82166,2021,20216469000,3538922000,4117189000,173000,207702000,9325000,9465093000,16932000,1419224000,0,208090000,6110272000,13518524000,512388000,15573022000,8229105000,27485101000,0,0,0,35714206000,2118390,""
"48","ND","north dakota",NA,1241002,2021,10188478469,1805007000,5110750872,53251000,0,215145000,1671265000,31122000,42116000,0,93441000,2635715227,5033307761,17610105,5649540425,3504186048,9831987470,248655000,0,0,13336173518,779518,""
"49","CA","california",NA,31665,2021,480810792000,109884676000,142649833000,695893000,19815357000,1577454000,94255760000,0,93951696000,0,5907133000,72682113000,271361440000,1847263000,228081965000,4954588000,569018193000,0,0,0,573972781000,39501653,""
"50","OK","oklahoma",NA,37320,2021,0,0,0,0,0,0,0,0,0,0,0,3575443000,9908854000,-9494043000,1206810000,716970000,22793625000,0,0,0,23510595000,3964912,""
"51","FL","florida",NA,32221,2021,76561985000,19327136000,16014011000,33577000,0,18865000,10243863000,0,7142549000,0,850110000,22737192000,65338257000,2152795000,46735056000,8930865000,128032435000,1128180000,861000,25465000,136963300000,21589602,""
