"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","census_name","state.name","population","Median_Household_Income_2021"
"22","CA","cudahy","05201951900000",96338,2022,7159221,0,2405709,0,0,0,2544002,0,1848791,0,157763,2951721,12253018,0,5618757,6630840,14192656,0,0,0,20823496,"0617498","city of cudahy",162,"06","000","17498","00000",0,"A","cudahy city","California",22808,NA
"23","CA","dublin","05200160100000",67246,2022,63121927,20454565,32237059,0,0,0,8804512,0,0,9048738,1308042,27660672,7273101,16457860,88728898,33395651,106724880,4974609,0,0,140120531,"0620018","city of dublin",162,"06","000","20018","00000",0,"A","dublin city","California",72588,205219
"24","CA","east palo alto","05204160100000",31872,2022,21589846,0,7575054,0,0,630001,6526289,0,0,0,913042,7770551,5797564,7074206,27884199,15612434,32914086,2905566,0,0,48526520,"0620956","city of east palo alto",162,"06","000","20956","00000",0,"A","east palo alto city","California",30040,NA
"25","CA","lakeport","05201700100000",54960,2022,42320807,29472384,1296123,0,2030000,0,4293235,0,4682052,0,547013,5698503,1457958,1505881,8515959,2794252,14384049,2457485,0,0,17178301,"0639710","city of lakeport",162,"06","000","39710","00000",0,"A","lakeport city","California",5029,NA
"26","CA","millbrae","05204100800000",67573,2022,121071693,63619453,11634418,0,0,0,35792327,0,7122677,0,1245087,31639357,4256419,7935323,29203334,8884602,64149830,10387187,0,0,73034433,"0647486","city of millbrae",162,"06","000","47486","00000",0,"A","millbrae city","California",23213,NA
"27","CA","twentynine palms","05203640100000",67982,2022,3333757,0,1478844,0,1224900,0,183382,0,153371,0,285488,1670247,5474903,7843317,11099065,13493741,12593791,0,0,0,26087532,"0680994","city of twentynine palms",162,"06","000","80994","00000",0,"A","twentynine palms city","California",28067,NA
"28","CA","redding","05204500100000",31881,2022,577926713,199424995,52409292,0,1128439,0,218903868,0,54940168,0,22809410,270008805,37595448,23929672,63348244,34056988,360825181,159786038,0,2139110,394882169,"0659920","city of redding",162,"06","000","59920","00000",0,"A","redding city","California",93609,58702
"29","CA","reedley","05201001200000",49491,2022,45427470,27527731,1905413,0,0,0,9003057,0,6357572,0,633697,13768705,7689847,2696570,13228552,6279904,31103770,4120557,0,0,37383674,"0660242","city of reedley",162,"06","000","60242","00000",0,"A","reedley city","California",25230,NA
"30","CA","irvine","05203090100000",31829,2022,202113000,0,117706000,0,0,0,36051000,0,8475000,0,18488000,106573000,85415000,16785000,186708000,2047000,393434000,0,0,0,395481000,"0636770","city of irvine",162,"06","000","36770","00000",0,"A","irvine city","California",307665,105774
"31","CA","ripon","05203900300000",47653,2022,7114523,6575000,0,0,539523,0,0,0,0,0,0,10349833,1879180,5926124,12418584,5803454,24770267,1733453,0,0,30573721,"0661026","city of ripon",162,"06","000","61026","00000",0,"A","ripon city","California",16016,NA
